trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	duration	comparison_duration	feedback_duration	iti	isi1	isi2
math	6-14	-8.0	-9	word	numeric	noninformative	-1	1.3	2.5	2.0	5.1	3.5	5.4
math	6-7	-1.0	-2	numeric	numeric	noninformative	-1	1.5	2.9	2.0	4.9	7.8	3.4
math	26/12	2.2	3	word	numeric	informative	1	2.6	1.9	2.0	2.7	4.9	3.3
baseline	9	9.0	5	numeric	numeric	noninformative	-4	1.6	1.5	2.0	4.9	4.0	3.9
math	23*5	115.0	105	numeric	word	informative	-10	1.4	1.4	2.0	4.9	3.8	4.5
baseline	12	12.0	8	numeric	word	noninformative	-4	2.5	1.4	2.0	4.3	3.9	6.3
math	12/1	12.0	4	numeric	numeric	noninformative	-8	1.8	2.0	2.0	5.4	3.5	3.6
baseline	4	4.0	3	word	numeric	informative	-1	3.0	1.2	2.0	4.5	4.1	2.5
baseline	27	27.0	32	word	word	noninformative	5	2.0	1.0	2.0	4.8	4.2	5.5
math	30*5	150.0	144	word	numeric	noninformative	-6	2.3	1.2	2.0	4.8	3.2	3.9
math	25+24	49.0	55	numeric	numeric	informative	6	2.2	1.4	2.0	5.3	3.6	5.5
math	13+3	16.0	14	word	word	informative	-2	1.0	1.1	2.0	4.3	5.9	7.9
baseline	16	16.0	9	word	word	informative	-7	1.7	2.3	2.0	4.7	5.1	5.5
math	20*19	380.0	376	numeric	numeric	informative	-4	2.6	2.2	2.0	6.5	6.2	7.1
math	14+13	27.0	28	numeric	word	informative	1	1.9	2.9	2.0	5.6	7.7	3.1
baseline	28	28.0	30	numeric	numeric	noninformative	2	1.5	1.6	2.0	3.6	3.7	6.2
math	16+29	45.0	45	word	word	informative	0	1.8	2.2	2.0	4.1	4.5	5.4
baseline	12	12.0	4	word	word	informative	-8	2.9	2.3	2.0	5.9	5.1	4.2
math	20-14	6.0	1	numeric	numeric	informative	-5	1.3	1.6	2.0	3.2	4.7	2.2
math	17*20	340.0	336	word	word	informative	-4	2.5	1.1	2.0	6.0	4.9	3.7
math	21/2	10.5	10	numeric	word	noninformative	-1	1.2	2.4	2.0	3.5	5.7	5.0
math	17-17	0.0	-1	numeric	word	noninformative	-1	2.3	2.7	2.0	4.1	3.2	4.0
baseline	23	23.0	33	word	numeric	noninformative	10	2.4	1.6	2.0	7.2	7.4	6.4
math	26/6	4.3	7	word	word	noninformative	3	2.3	1.5	2.0	7.8	5.2	4.1
