trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	duration	comparison_duration	feedback_duration	iti	isi1	isi2
math	10/5	2.0	11	numeric	numeric	informative	9	2.5	2.1	2.0	3.5	7.9	3.7
math	16*22	352.0	356	word	word	noninformative	4	2.2	1.3	2.0	4.5	3.1	4.4
math	5+9	14.0	15	word	word	informative	1	1.5	2.6	2.0	6.3	4.5	4.7
math	3/2	1.5	0	word	word	informative	-1	1.6	2.3	2.0	6.5	2.9	6.4
math	30/12	2.5	4	numeric	word	informative	2	1.7	3.0	2.0	4.0	6.9	3.3
math	27+28	55.0	55	word	numeric	noninformative	0	1.9	2.7	2.0	5.1	5.1	3.7
baseline	13	13.0	19	word	numeric	informative	6	2.4	2.1	2.0	4.9	3.1	4.4
baseline	13	13.0	9	numeric	word	noninformative	-4	2.4	2.6	2.0	3.3	3.5	6.9
math	11-5	6.0	6	numeric	word	noninformative	0	1.3	1.9	2.0	3.9	5.0	5.3
math	21+1	22.0	17	word	word	informative	-5	2.0	2.5	2.0	3.9	4.4	4.5
math	6-9	-3.0	-1	word	numeric	informative	2	2.4	1.1	2.0	5.6	6.0	2.8
math	26-3	23.0	26	numeric	numeric	noninformative	3	1.4	1.9	2.0	5.3	7.1	2.9
baseline	16	16.0	17	numeric	word	informative	1	2.5	2.1	2.0	3.4	7.8	4.3
math	1+27	28.0	21	word	numeric	noninformative	-7	2.5	2.6	2.0	4.5	4.7	7.0
math	3-16	-13.0	-13	word	numeric	informative	0	1.2	2.5	2.0	4.1	6.6	2.8
baseline	3	3.0	9	numeric	word	noninformative	6	2.9	1.1	2.0	4.7	3.1	4.1
math	14*26	364.0	354	word	numeric	informative	-10	2.1	1.1	2.0	5.6	5.3	4.5
baseline	21	21.0	31	numeric	word	noninformative	10	1.2	2.4	2.0	2.8	4.9	6.9
math	29/2	14.5	14	numeric	word	noninformative	0	1.5	2.6	2.0	4.8	4.6	2.8
math	13*23	299.0	308	numeric	word	noninformative	9	2.9	2.0	2.0	3.8	5.8	6.3
baseline	29	29.0	29	numeric	numeric	informative	0	2.4	2.7	2.0	4.5	3.7	6.5
baseline	8	8.0	12	numeric	numeric	informative	4	2.4	1.7	2.0	2.9	5.3	3.1
math	3*14	42.0	42	word	numeric	noninformative	0	1.3	2.3	2.0	4.9	5.1	5.5
baseline	13	13.0	23	word	numeric	noninformative	10	1.9	1.7	2.0	5.7	3.3	4.0
