trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
baseline	25	25.0	26	word	word	noninformative	1	2.0	3.8	1.2	3.4	0.5	3.7
math	23-1	22.0	23	word	numeric	noninformative	1	1.1	4.6	1.5	4.2	0.5	4.9
math	18/8	2.2	2	word	word	noninformative	0	2.5	3.4	1.3	2.8	0.5	5.9
baseline	21	21.0	19	numeric	numeric	noninformative	-2	2.5	6.4	2.4	4.6	0.5	4.9
baseline	28	28.0	19	word	numeric	informative	-9	2.8	3.1	1.1	3.7	0.5	7.5
math	12+10	22.0	15	numeric	word	noninformative	-7	2.9	2.7	1.4	6.0	0.5	3.1
math	18/6	3.0	12	numeric	numeric	informative	9	2.1	5.2	1.1	5.3	0.5	4.5
math	30*2	60.0	61	word	word	noninformative	1	2.7	5.2	1.2	4.3	0.5	4.7
math	30+20	50.0	48	word	numeric	noninformative	-2	2.8	3.1	2.2	3.8	0.5	4.2
baseline	23	23.0	21	word	numeric	noninformative	-2	1.1	3.3	2.0	5.0	0.5	4.3
math	23/2	11.5	10	word	numeric	informative	-1	1.2	3.7	2.1	4.8	0.5	6.9
baseline	3	3.0	-6	numeric	word	informative	-9	1.1	4.2	2.7	5.4	0.5	4.1
baseline	14	14.0	13	word	numeric	informative	-1	1.7	3.1	1.6	3.8	0.5	4.6
math	9-12	-3.0	4	word	word	noninformative	7	1.6	3.8	2.5	6.0	0.5	6.0
math	24*28	672.0	668	numeric	word	noninformative	-4	2.6	5.5	2.6	4.2	0.5	4.9
math	24+29	53.0	61	word	word	noninformative	8	1.7	4.1	2.6	4.2	0.5	4.2
math	8*15	120.0	121	numeric	numeric	noninformative	1	2.6	3.7	3.0	3.1	0.5	6.8
math	7+22	29.0	30	word	numeric	informative	1	1.3	4.3	1.4	3.6	0.5	2.4
math	29*17	493.0	487	numeric	numeric	informative	-6	2.7	5.3	2.9	5.5	0.5	3.7
math	22/21	1.0	0	numeric	numeric	informative	-1	1.8	3.5	2.1	3.9	0.5	7.2
baseline	8	8.0	4	numeric	word	informative	-4	2.9	4.1	1.3	2.8	0.5	3.1
math	25-24	1.0	3	numeric	word	informative	2	2.9	5.4	1.6	5.5	0.5	5.2
math	19-18	1.0	2	numeric	word	informative	1	2.4	4.3	2.4	7.4	0.5	3.9
baseline	22	22.0	19	numeric	word	informative	-3	1.6	7.4	1.0	5.5	0.5	13.5
