trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	duration	comparison_duration	feedback_duration	iti	isi1	isi2
math	11*30	330.0	327	word	numeric	informative	-3	1.1	2.5	2.0	4.5	7.3	4.5
baseline	13	13.0	9	numeric	word	informative	-4	2.2	2.3	2.0	6.9	6.5	2.7
math	29*30	870.0	871	word	numeric	informative	1	1.9	1.7	2.0	2.7	5.4	5.0
math	17/7	2.4	3	numeric	word	informative	1	1.3	1.4	2.0	2.4	4.3	2.9
math	17+1	18.0	14	numeric	numeric	informative	-4	2.7	1.5	2.0	3.8	5.5	3.1
math	26+27	53.0	55	word	word	noninformative	2	2.5	1.8	2.0	5.6	5.1	3.9
baseline	30	30.0	32	word	numeric	informative	2	1.8	2.4	2.0	3.1	4.2	3.5
math	5*28	140.0	131	numeric	word	noninformative	-9	1.9	1.1	2.0	6.0	4.9	4.3
math	17-25	-8.0	-11	word	numeric	noninformative	-3	2.9	1.4	2.0	4.4	3.3	3.6
math	28/22	1.3	11	word	numeric	informative	10	1.7	1.6	2.0	4.6	4.2	6.4
baseline	4	4.0	9	numeric	numeric	informative	5	2.8	3.0	2.0	3.8	5.8	4.3
baseline	7	7.0	8	word	word	informative	1	3.0	2.8	2.0	7.3	3.2	4.0
baseline	13	13.0	14	word	numeric	noninformative	1	1.9	2.9	2.0	4.6	4.0	5.7
math	19-4	15.0	7	numeric	word	informative	-8	2.7	2.1	2.0	4.1	3.8	7.6
math	29/24	1.2	10	word	numeric	informative	9	1.3	1.3	2.0	3.8	4.8	3.9
math	26-21	5.0	1	word	word	noninformative	-4	1.1	1.6	2.0	3.0	3.3	6.4
baseline	16	16.0	21	numeric	numeric	noninformative	5	2.2	2.0	2.0	4.7	3.7	5.6
math	8+24	32.0	35	numeric	word	noninformative	3	2.3	1.9	2.0	4.8	4.5	5.1
baseline	4	4.0	3	numeric	numeric	noninformative	-1	2.5	2.9	2.0	5.3	5.5	4.3
math	27-29	-2.0	-3	numeric	word	informative	-1	1.9	3.0	2.0	2.2	6.0	5.8
math	28/16	1.8	2	numeric	word	noninformative	0	1.9	2.2	2.0	5.1	7.5	6.1
math	27+16	43.0	41	word	numeric	noninformative	-2	1.6	1.5	2.0	4.2	4.9	6.4
baseline	11	11.0	8	numeric	word	noninformative	-3	1.9	1.4	2.0	4.3	3.6	5.3
math	10*28	280.0	270	word	word	noninformative	-10	1.7	3.0	2.0	6.8	5.2	5.0
