trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
multiplication	1*9	9.0	9	numeric	word	informative	0	2.4	2.9	1.5	3.1	0.5	6.8
subtraction	3-20	-17.0	-17	numeric	word	informative	0	1.6	3.7	2.5	3.2	0.5	7.0
division	30/22	1.4	2	word	numeric	informative	1	1.4	3.8	2.6	4.1	0.5	3.6
subtraction	26-29	-3.0	-10	word	numeric	noninformative	-7	1.5	3.9	1.2	3.4	0.5	4.7
multiplication	18*7	126.0	127	numeric	word	noninformative	1	1.2	5.4	2.1	4.4	0.5	4.7
division	21/4	5.2	3	numeric	word	noninformative	-2	1.2	4.7	1.2	4.3	0.5	4.6
addition	21+16	37.0	34	numeric	word	informative	-3	2.5	4.8	2.7	4.7	0.5	5.7
addition	30+12	42.0	41	numeric	numeric	informative	-1	1.4	3.3	1.6	3.6	0.5	5.2
addition	5+5	10.0	13	numeric	word	noninformative	3	2.3	6.0	2.8	4.9	0.5	3.6
division	14/11	1.3	3	word	numeric	informative	2	2.3	5.5	1.4	7.5	0.5	4.2
addition	19+2	21.0	16	word	numeric	informative	-5	1.3	6.9	2.1	5.5	0.5	3.1
multiplication	26*4	104.0	104	numeric	numeric	informative	0	1.0	4.2	2.5	5.0	0.5	4.0
addition	27+16	43.0	43	word	numeric	informative	0	3.0	3.1	1.2	4.4	0.5	5.3
subtraction	22-27	-5.0	4	word	numeric	noninformative	9	1.6	5.0	1.7	4.7	0.5	4.2
multiplication	18*2	36.0	33	word	numeric	noninformative	-3	2.2	3.3	1.9	5.1	0.5	2.4
multiplication	26*2	52.0	53	numeric	numeric	informative	1	1.1	4.1	1.5	4.9	0.5	7.8
division	7/7	1.0	6	numeric	numeric	informative	5	1.8	3.7	1.4	3.3	0.5	3.5
subtraction	29-11	18.0	19	word	word	noninformative	1	1.5	3.7	2.3	5.1	0.5	3.5
subtraction	17-1	16.0	14	word	word	noninformative	-2	1.6	3.7	1.3	4.0	0.5	6.2
division	29/12	2.4	-3	word	word	noninformative	-5	2.9	4.9	1.6	5.0	0.5	4.4
multiplication	29*2	58.0	59	word	numeric	noninformative	1	1.6	4.1	2.8	7.4	0.5	4.5
subtraction	5-16	-11.0	-11	numeric	word	noninformative	0	1.3	3.0	1.7	7.5	0.5	4.7
division	11/9	1.2	-3	numeric	word	informative	-4	2.2	3.4	1.2	4.7	0.5	4.6
addition	24+24	48.0	38	word	word	noninformative	-10	2.8	4.9	2.1	7.8	0.5	2.8
