trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
math	29+17	46.0	53	numeric	numeric	informative	7	1.8	4.5	1.7	4.0	0.5	4.3
math	26/18	1.4	1	word	numeric	informative	0	1.3	6.8	3.0	5.0	0.5	3.5
math	5-14	-9.0	-7	word	numeric	noninformative	2	1.2	3.7	2.7	4.3	0.5	4.1
math	3-3	0.0	4	word	word	informative	4	1.3	4.0	2.7	6.1	0.5	4.0
math	28+24	52.0	57	word	word	informative	5	1.9	3.9	2.3	4.4	0.5	5.3
baseline	17	17.0	10	word	word	informative	-7	2.5	4.1	2.7	3.4	0.5	4.6
math	30*26	780.0	784	numeric	numeric	informative	4	1.4	3.8	1.5	4.3	0.5	4.6
baseline	17	17.0	17	numeric	word	informative	0	1.6	2.7	3.0	7.3	0.5	2.9
math	24/1	24.0	21	numeric	numeric	noninformative	-3	2.1	7.1	3.0	3.3	0.5	4.5
math	4*8	32.0	27	numeric	word	noninformative	-5	2.8	3.9	1.4	5.6	0.5	5.8
baseline	20	20.0	17	numeric	numeric	noninformative	-3	1.7	4.2	1.3	3.1	0.5	2.9
math	15-9	6.0	6	word	word	noninformative	0	2.9	5.4	2.2	5.3	0.5	5.6
math	12+7	19.0	23	numeric	word	noninformative	4	1.6	5.2	1.7	4.4	0.5	2.9
baseline	12	12.0	12	numeric	numeric	informative	0	2.5	4.2	2.4	4.6	0.5	5.3
baseline	15	15.0	15	word	word	noninformative	0	2.4	3.5	2.7	5.0	0.5	5.4
math	19*21	399.0	402	word	word	informative	3	2.9	6.1	2.1	4.5	0.5	6.3
baseline	20	20.0	24	word	numeric	noninformative	4	1.2	4.1	2.1	7.0	0.5	4.4
math	13*9	117.0	119	numeric	numeric	informative	2	1.9	3.3	1.4	5.7	0.5	4.4
baseline	10	10.0	19	word	word	informative	9	1.9	3.6	1.2	3.9	0.5	4.4
math	5-12	-7.0	-8	word	numeric	noninformative	-1	1.9	3.8	1.1	7.1	0.5	4.7
baseline	15	15.0	5	word	numeric	noninformative	-10	2.0	4.5	1.8	4.9	0.5	3.5
math	30/3	10.0	3	numeric	numeric	informative	-7	2.1	5.2	2.4	3.6	0.5	4.6
math	14+8	22.0	17	numeric	word	noninformative	-5	1.8	4.8	1.4	4.1	0.5	4.1
math	18/9	2.0	3	numeric	word	noninformative	1	1.3	4.4	1.2	4.1	0.5	13.1
