trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
math	26*3	78.0	82	word	numeric	noninformative	4	1.8	3.0	2.2	4.3	0.5	6.9
baseline	2	2.0	5	word	numeric	noninformative	3	2.6	3.8	2.0	3.6	0.5	6.0
baseline	30	30.0	39	numeric	numeric	informative	9	2.9	3.8	2.4	3.3	0.5	5.1
math	4+30	34.0	34	word	word	informative	0	1.2	4.0	1.5	5.5	0.5	4.0
baseline	12	12.0	17	word	numeric	noninformative	5	2.4	4.6	2.1	3.4	0.5	4.6
math	10/7	1.4	-1	numeric	numeric	informative	-2	1.6	4.1	2.7	2.3	0.5	4.3
baseline	18	18.0	28	word	word	informative	10	2.5	3.3	2.4	3.2	0.5	3.9
math	28/15	1.9	-3	numeric	numeric	noninformative	-5	2.1	6.7	2.0	4.8	0.5	3.5
math	4/3	1.3	6	word	numeric	informative	5	2.4	4.8	1.9	3.9	0.5	3.1
baseline	19	19.0	29	numeric	numeric	informative	10	1.7	4.0	1.5	3.9	0.5	4.4
math	14-4	10.0	1	numeric	numeric	informative	-9	2.8	5.2	2.1	4.1	0.5	4.0
math	4-19	-15.0	-20	numeric	numeric	informative	-5	2.4	5.3	1.8	4.2	0.5	5.0
math	17-18	-1.0	6	numeric	word	informative	7	2.3	3.7	2.5	5.0	0.5	4.2
math	18+2	20.0	20	numeric	word	informative	0	2.9	4.3	1.8	4.8	0.5	5.3
math	16-12	4.0	-3	numeric	numeric	noninformative	-7	1.5	4.9	2.8	6.2	0.5	3.3
math	15*27	405.0	396	word	numeric	noninformative	-9	2.6	4.1	1.1	4.3	0.5	6.4
baseline	22	22.0	25	word	word	noninformative	3	1.4	3.7	2.4	4.9	0.5	5.5
math	30*19	570.0	570	numeric	word	noninformative	0	2.1	5.2	1.7	3.5	0.5	3.9
baseline	15	15.0	15	word	word	informative	0	2.1	5.4	3.0	4.4	0.5	3.9
math	18/13	1.4	-1	word	word	noninformative	-2	2.8	5.0	1.4	3.8	0.5	4.2
math	27*18	486.0	485	word	word	noninformative	-1	2.8	5.0	2.0	7.2	0.5	3.0
baseline	6	6.0	3	word	word	noninformative	-3	1.2	2.8	1.5	2.9	0.5	5.9
math	20+25	45.0	53	numeric	word	noninformative	8	2.1	3.4	2.0	7.0	0.5	7.2
math	18+19	37.0	44	numeric	word	informative	7	2.9	3.5	3.0	5.5	0.5	11.9
