trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	duration	comparison_duration	feedback_duration	iti	isi1	isi2
math	28/8	3.5	-6	numeric	word	informative	-10	2.6	2.5	2.0	3.5	4.3	5.5
math	25*23	575.0	566	word	word	noninformative	-9	1.1	2.3	2.0	6.2	7.0	7.0
math	20/11	1.8	-2	numeric	numeric	noninformative	-4	1.4	1.4	2.0	2.9	5.0	3.8
math	2-16	-14.0	-17	word	word	noninformative	-3	2.2	2.6	2.0	5.3	3.4	4.4
math	25*25	625.0	619	word	word	noninformative	-6	1.2	2.6	2.0	3.6	5.4	5.5
math	1-22	-21.0	-22	word	numeric	noninformative	-1	2.2	1.8	2.0	4.2	2.9	3.2
math	7+9	16.0	12	numeric	word	informative	-4	1.1	2.0	2.0	3.0	4.7	3.9
math	22+24	46.0	40	word	numeric	informative	-6	2.9	2.6	2.0	6.4	4.6	4.3
baseline	29	29.0	24	numeric	numeric	informative	-5	3.0	1.9	2.0	5.3	6.5	5.5
baseline	19	19.0	19	numeric	word	noninformative	0	2.0	2.5	2.0	4.2	3.9	3.7
math	30*26	780.0	785	word	word	informative	5	2.3	1.2	2.0	7.0	5.6	3.4
baseline	3	3.0	0	word	numeric	noninformative	-3	2.5	2.0	2.0	5.4	3.5	4.7
baseline	9	9.0	8	numeric	word	informative	-1	2.5	1.9	2.0	6.3	4.4	3.8
math	3+29	32.0	40	numeric	numeric	noninformative	8	1.8	1.5	2.0	6.4	7.1	3.4
baseline	14	14.0	4	word	numeric	noninformative	-10	2.5	2.7	2.0	3.1	7.3	3.8
baseline	20	20.0	24	numeric	numeric	noninformative	4	1.8	1.0	2.0	3.6	4.4	3.4
math	23-10	13.0	13	word	word	informative	0	2.9	1.9	2.0	3.6	7.0	5.6
math	2*22	44.0	47	word	numeric	informative	3	2.4	1.1	2.0	2.7	3.8	5.2
math	5+12	17.0	14	word	numeric	noninformative	-3	1.7	2.0	2.0	5.1	3.9	3.8
math	24-26	-2.0	-12	word	word	informative	-10	2.7	2.7	2.0	5.7	5.7	5.5
math	8/1	8.0	3	numeric	word	informative	-5	1.8	1.7	2.0	6.0	4.7	6.2
baseline	14	14.0	11	numeric	numeric	noninformative	-3	1.2	2.8	2.0	3.7	5.0	4.4
baseline	19	19.0	25	numeric	word	informative	6	1.6	1.2	2.0	4.2	4.3	3.6
math	28/17	1.6	0	numeric	numeric	informative	-2	1.8	1.3	2.0	5.5	3.5	7.2
