trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
baseline	20	20.0	20	word	word	informative	0	1.1	3.7	2.9	4.4	0.5	3.5
math	23/14	1.6	3	numeric	word	informative	1	1.1	2.6	1.9	6.6	0.5	5.3
baseline	15	15.0	16	word	numeric	noninformative	1	2.4	3.8	2.9	2.9	0.5	6.3
math	30+27	57.0	54	word	numeric	informative	-3	1.6	4.2	2.0	4.2	0.5	3.0
math	25/18	1.4	9	word	numeric	noninformative	8	2.6	4.7	2.1	5.0	0.5	5.5
baseline	27	27.0	29	numeric	word	noninformative	2	2.0	3.7	2.1	3.4	0.5	4.6
baseline	2	2.0	0	word	word	informative	-2	2.3	7.8	2.4	7.9	0.5	3.2
math	14+6	20.0	17	numeric	word	informative	-3	2.9	4.2	1.1	6.1	0.5	4.4
math	13*13	169.0	173	word	numeric	noninformative	4	1.6	6.7	2.6	5.8	0.5	2.7
math	9*19	171.0	173	numeric	numeric	informative	2	1.0	3.6	1.5	3.4	0.5	4.5
baseline	17	17.0	17	numeric	word	informative	0	1.3	4.5	2.0	4.7	0.5	4.5
math	6/4	1.5	4	word	numeric	noninformative	2	3.0	3.1	1.4	3.5	0.5	3.8
baseline	16	16.0	17	numeric	numeric	noninformative	1	2.9	4.1	2.5	3.7	0.5	4.0
math	3*21	63.0	63	word	numeric	noninformative	0	2.0	4.8	3.0	5.3	0.5	6.2
math	3-30	-27.0	-22	word	numeric	noninformative	5	1.7	5.7	2.4	4.7	0.5	3.8
math	13+18	31.0	28	numeric	word	noninformative	-3	1.1	3.3	2.9	4.8	0.5	5.0
math	10-2	8.0	15	numeric	word	noninformative	7	2.9	3.9	2.4	4.3	0.5	3.6
math	11-10	1.0	3	numeric	word	informative	2	2.3	5.5	2.2	3.7	0.5	3.2
math	9*5	45.0	45	numeric	word	informative	0	1.3	5.5	1.6	5.8	0.5	3.5
math	25-29	-4.0	-4	numeric	numeric	informative	0	1.7	7.3	2.2	3.8	0.5	6.6
math	9+1	10.0	9	numeric	numeric	noninformative	-1	2.1	3.6	2.0	4.0	0.5	6.8
baseline	26	26.0	26	word	word	informative	0	1.0	3.8	2.8	3.3	0.5	3.9
baseline	26	26.0	18	word	word	informative	-8	2.5	3.8	2.7	5.3	0.5	6.3
math	11/7	1.6	-5	word	numeric	noninformative	-7	1.3	3.5	1.8	5.3	0.5	9.4
