trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	duration	comparison_duration	feedback_duration	iti	isi1	isi2
baseline	6	6.0	7	word	word	noninformative	1	2.9	1.7	2.0	5.9	4.8	4.7
math	1+9	10.0	8	word	numeric	noninformative	-2	2.9	2.2	2.0	3.3	7.3	4.1
math	25+18	43.0	39	numeric	word	informative	-4	1.2	1.5	2.0	5.3	3.8	4.4
math	22+30	52.0	49	numeric	numeric	informative	-3	1.7	2.8	2.0	3.9	3.2	3.6
math	6/1	6.0	9	numeric	word	informative	3	1.9	3.0	2.0	4.4	6.5	5.1
math	3*9	27.0	29	numeric	word	informative	2	1.1	1.6	2.0	4.0	6.0	4.1
math	1*27	27.0	25	numeric	numeric	informative	-2	2.7	2.3	2.0	3.2	5.0	4.6
math	13-11	2.0	1	numeric	numeric	noninformative	-1	2.4	2.2	2.0	4.6	4.0	5.0
math	1+6	7.0	5	word	numeric	informative	-2	2.0	2.2	2.0	3.0	5.0	3.9
math	7-15	-8.0	-11	numeric	numeric	noninformative	-3	1.9	1.7	2.0	4.6	5.1	4.0
baseline	22	22.0	16	word	word	informative	-6	2.4	2.6	2.0	4.5	2.9	3.8
math	26-13	13.0	17	word	word	noninformative	4	2.6	1.8	2.0	3.4	4.5	5.6
baseline	6	6.0	6	word	numeric	noninformative	0	2.5	2.0	2.0	3.8	5.0	3.0
baseline	19	19.0	20	word	numeric	informative	1	2.9	1.3	2.0	4.1	4.2	3.6
math	22*6	132.0	124	word	word	noninformative	-8	2.2	2.1	2.0	3.8	3.8	6.6
baseline	30	30.0	32	numeric	word	noninformative	2	2.8	2.9	2.0	5.8	3.6	5.8
math	27/13	2.1	0	numeric	word	informative	-2	2.6	2.6	2.0	6.9	4.5	3.9
baseline	23	23.0	22	numeric	numeric	noninformative	-1	1.7	2.8	2.0	4.3	5.2	3.0
math	4-3	1.0	1	word	numeric	informative	0	1.9	3.0	2.0	3.8	4.4	5.2
baseline	10	10.0	12	word	numeric	noninformative	2	2.6	1.3	2.0	6.3	5.2	5.6
math	8*16	128.0	136	word	word	noninformative	8	1.9	2.2	2.0	6.3	4.8	4.4
baseline	3	3.0	7	numeric	word	noninformative	4	2.3	2.5	2.0	5.1	6.1	6.4
math	29/25	1.2	5	word	numeric	informative	4	2.7	2.3	2.0	5.1	4.7	4.2
math	30/6	5.0	-5	numeric	word	informative	-10	2.1	1.6	2.0	5.9	2.2	4.2
