trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	duration	comparison_duration	feedback_duration	iti	isi1	isi2
baseline	26	26.0	27	numeric	word	informative	1	2.1	2.6	2.0	4.8	4.4	4.7
baseline	23	23.0	24	word	numeric	informative	1	3.0	2.4	2.0	8.0	5.9	4.3
math	23/5	4.6	8	numeric	numeric	informative	3	1.2	1.8	2.0	4.5	3.8	3.3
baseline	21	21.0	20	numeric	numeric	informative	-1	1.9	3.0	2.0	3.1	5.2	4.9
math	29+23	52.0	49	word	word	noninformative	-3	2.9	2.4	2.0	4.8	4.8	4.0
math	14+28	42.0	33	word	numeric	noninformative	-9	2.9	2.7	2.0	4.0	6.2	4.6
math	19-17	2.0	0	word	word	noninformative	-2	1.5	1.6	2.0	3.8	4.5	4.9
math	7*22	154.0	159	numeric	word	informative	5	2.4	2.0	2.0	3.0	6.4	5.0
math	25*25	625.0	633	word	numeric	informative	8	1.8	2.5	2.0	6.1	3.4	6.1
math	2+24	26.0	24	numeric	word	informative	-2	2.6	1.8	2.0	4.6	5.0	3.9
math	27/19	1.4	3	word	word	informative	2	1.1	2.4	2.0	6.7	3.5	5.2
math	26*1	26.0	20	numeric	numeric	noninformative	-6	2.1	2.7	2.0	4.1	4.6	5.1
math	16-29	-13.0	-14	numeric	word	noninformative	-1	1.3	1.9	2.0	3.2	6.1	6.9
baseline	29	29.0	24	word	numeric	noninformative	-5	1.1	3.0	2.0	2.9	4.4	3.7
math	10/1	10.0	13	numeric	word	noninformative	3	1.9	2.0	2.0	2.8	3.2	4.5
baseline	29	29.0	29	word	word	noninformative	0	2.9	1.3	2.0	5.1	4.8	3.7
baseline	26	26.0	20	numeric	numeric	noninformative	-6	1.8	2.1	2.0	4.0	3.1	3.4
math	21*7	147.0	147	word	numeric	noninformative	0	1.8	1.5	2.0	4.8	4.5	4.1
baseline	13	13.0	13	word	word	informative	0	2.4	3.0	2.0	5.7	3.6	4.5
math	5-13	-8.0	-9	numeric	numeric	informative	-1	2.0	2.3	2.0	4.6	3.9	4.8
baseline	11	11.0	17	numeric	numeric	noninformative	6	1.7	2.3	2.0	6.2	3.1	4.7
math	5/1	5.0	3	word	word	informative	-2	3.0	2.1	2.0	5.7	3.4	5.7
math	13+12	25.0	15	numeric	numeric	noninformative	-10	2.3	2.4	2.0	4.1	4.2	6.2
math	19-6	13.0	12	word	word	informative	-1	2.8	2.6	2.0	8.5	5.1	2.7
