trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
math	12+25	37.0	36	numeric	numeric	informative	-1	2.6	3.3	2.8	4.7	0.5	3.4
math	9-7	2.0	-5	word	word	noninformative	-7	1.5	5.4	2.8	6.6	0.5	3.4
baseline	27	27.0	25	numeric	numeric	noninformative	-2	2.1	4.4	1.0	3.0	0.5	3.8
math	6-14	-8.0	-7	word	numeric	noninformative	1	2.3	5.1	1.0	4.2	0.5	4.2
baseline	6	6.0	7	numeric	word	noninformative	1	1.0	3.9	1.7	7.4	0.5	3.5
math	16*11	176.0	183	numeric	numeric	informative	7	2.9	4.9	1.8	7.0	0.5	4.7
baseline	17	17.0	12	word	numeric	informative	-5	2.0	3.2	2.9	4.0	0.5	6.0
math	25+23	48.0	51	word	numeric	noninformative	3	1.6	5.4	2.6	6.5	0.5	2.6
baseline	22	22.0	25	word	word	noninformative	3	2.8	5.4	1.4	4.3	0.5	4.2
math	26/10	2.6	3	numeric	numeric	informative	0	1.1	5.7	2.4	5.6	0.5	4.9
math	19/18	1.1	8	word	word	informative	7	1.9	4.3	1.1	3.0	0.5	7.8
baseline	11	11.0	11	word	word	informative	0	1.4	3.9	1.4	7.7	0.5	4.1
math	24*1	24.0	22	numeric	numeric	informative	-2	2.4	4.6	2.9	5.4	0.5	5.6
math	30/15	2.0	2	word	numeric	noninformative	0	1.6	3.9	2.7	4.6	0.5	5.0
baseline	14	14.0	19	word	word	informative	5	1.7	5.3	2.8	4.3	0.5	4.3
baseline	21	21.0	31	numeric	word	noninformative	10	3.0	5.5	1.5	4.4	0.5	3.6
math	11/5	2.2	1	word	word	noninformative	-1	2.4	3.7	1.9	3.4	0.5	4.4
math	22+11	33.0	28	numeric	numeric	informative	-5	2.2	3.4	3.0	4.7	0.5	3.7
baseline	25	25.0	15	numeric	numeric	informative	-10	2.0	4.3	2.2	3.3	0.5	3.3
math	15*6	90.0	86	numeric	word	noninformative	-4	2.5	5.4	1.9	3.6	0.5	3.9
math	18*22	396.0	395	numeric	numeric	noninformative	-1	1.0	4.0	1.6	6.6	0.5	4.0
math	20-2	18.0	16	numeric	word	informative	-2	1.9	4.8	1.1	5.2	0.5	6.7
math	21+16	37.0	36	word	word	informative	-1	2.7	4.3	2.3	3.5	0.5	4.2
math	11-23	-12.0	-21	word	word	noninformative	-9	1.4	3.1	1.8	6.1	0.5	7.8
