trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
addition	13+26	39.0	39	numeric	numeric	informative	0	2.7	3.1	2.1	4.9	0.5	3.8
division	22/14	1.6	3	numeric	word	noninformative	1	1.5	4.7	1.4	5.5	0.5	2.8
addition	15+26	41.0	34	word	numeric	noninformative	-7	2.8	4.0	3.0	3.7	0.5	4.9
multiplication	29*8	232.0	227	numeric	word	informative	-5	1.0	3.1	1.6	3.8	0.5	3.5
multiplication	23*5	115.0	114	numeric	numeric	noninformative	-1	1.6	4.1	1.7	6.4	0.5	3.7
subtraction	4-16	-12.0	-11	numeric	numeric	informative	1	2.1	4.6	1.2	6.6	0.5	4.0
addition	14+1	15.0	18	word	numeric	noninformative	3	1.7	4.2	2.1	5.8	0.5	4.4
division	19/14	1.4	9	word	word	informative	8	2.7	4.5	1.9	4.1	0.5	5.4
division	22/16	1.4	2	word	numeric	informative	1	1.6	3.2	2.5	3.3	0.5	6.9
subtraction	18-21	-3.0	3	numeric	word	noninformative	6	1.3	6.8	2.6	5.7	0.5	4.8
addition	16+30	46.0	55	word	numeric	noninformative	9	1.8	4.2	2.0	4.4	0.5	4.1
subtraction	19-14	5.0	4	numeric	word	noninformative	-1	1.4	5.7	1.8	7.3	0.5	2.7
subtraction	5-15	-10.0	-12	word	word	noninformative	-2	1.9	4.0	1.1	3.1	0.5	7.1
subtraction	29-20	9.0	9	word	word	informative	0	2.9	4.4	2.2	2.8	0.5	6.7
division	27/22	1.2	4	word	numeric	informative	3	1.8	4.2	2.5	4.6	0.5	6.1
division	26/9	2.9	11	numeric	numeric	noninformative	8	1.4	4.9	1.5	4.9	0.5	4.8
multiplication	23*9	207.0	213	numeric	word	informative	6	1.3	7.0	1.7	4.7	0.5	3.2
multiplication	21*7	147.0	150	word	numeric	informative	3	2.6	4.0	1.9	5.9	0.5	5.4
multiplication	9*5	45.0	45	word	numeric	noninformative	0	1.4	6.4	1.2	6.0	0.5	3.2
multiplication	8*8	64.0	74	word	word	informative	10	1.4	2.8	1.0	4.0	0.5	2.8
division	26/19	1.4	-2	numeric	numeric	noninformative	-3	1.5	4.4	2.6	3.7	0.5	7.6
subtraction	11-17	-6.0	-9	numeric	word	informative	-3	2.8	4.3	1.4	3.6	0.5	4.6
addition	12+3	15.0	16	numeric	word	noninformative	1	1.9	4.6	2.7	4.3	0.5	2.9
addition	11+4	15.0	18	word	word	informative	3	3.0	5.1	1.9	3.9	0.5	5.9
