trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	duration	comparison_duration	feedback_duration	iti	isi1	isi2
math	13+7	20.0	26	numeric	numeric	informative	6	2.9	2.9	2.0	4.6	4.2	4.7
math	28+17	45.0	45	numeric	numeric	informative	0	2.4	2.8	2.0	4.8	4.3	3.2
math	19/10	1.9	0	word	word	noninformative	-2	3.0	2.9	2.0	3.7	4.7	4.2
baseline	30	30.0	38	numeric	word	noninformative	8	1.4	2.3	2.0	5.4	5.5	2.9
math	27*23	621.0	621	numeric	word	noninformative	0	1.7	2.2	2.0	4.4	4.1	7.5
math	10-28	-18.0	-17	word	numeric	informative	1	2.5	1.5	2.0	7.1	4.0	3.7
math	24/16	1.5	0	word	word	noninformative	-2	3.0	2.0	2.0	6.9	5.3	5.1
baseline	1	1.0	7	word	numeric	noninformative	6	1.6	2.6	2.0	3.1	3.6	4.2
math	4+4	8.0	17	word	word	informative	9	1.3	2.7	2.0	3.7	3.0	3.4
math	12/10	1.2	-1	word	numeric	informative	-2	1.8	2.1	2.0	5.7	6.7	2.8
math	9+23	32.0	30	numeric	word	informative	-2	1.6	2.5	2.0	5.3	3.7	4.6
math	7*2	14.0	17	numeric	word	informative	3	1.7	2.0	2.0	4.4	2.8	3.3
math	20-21	-1.0	-2	word	word	noninformative	-1	2.4	2.7	2.0	3.9	5.1	2.8
math	30*30	900.0	902	numeric	numeric	noninformative	2	2.8	2.2	2.0	3.4	4.9	6.9
baseline	6	6.0	5	numeric	numeric	informative	-1	2.1	2.7	2.0	3.6	5.7	4.5
baseline	26	26.0	32	numeric	word	informative	6	1.5	1.5	2.0	6.7	3.7	5.3
baseline	12	12.0	17	word	numeric	noninformative	5	2.3	1.8	2.0	3.1	4.9	4.9
baseline	11	11.0	21	word	word	noninformative	10	2.1	2.2	2.0	5.3	6.2	6.9
math	4*3	12.0	12	numeric	numeric	informative	0	2.1	1.3	2.0	3.9	3.8	4.2
math	10-7	3.0	4	numeric	numeric	noninformative	1	2.8	1.2	2.0	4.0	4.9	5.2
baseline	14	14.0	15	numeric	numeric	informative	1	2.7	1.8	2.0	4.3	3.9	3.6
math	3-4	-1.0	-1	word	word	noninformative	0	1.6	2.1	2.0	6.5	4.6	2.5
baseline	21	21.0	21	word	numeric	informative	0	2.3	2.9	2.0	4.7	5.8	6.7
math	20/3	6.7	1	word	word	noninformative	-6	2.4	1.8	2.0	8.6	5.1	2.6
