trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	duration	comparison_duration	feedback_duration	iti	isi1	isi2
math	11+28	39.0	39	word	word	noninformative	0	2.9	2.7	2.0	4.0	4.5	2.7
math	21-18	3.0	3	numeric	numeric	informative	0	1.9	2.0	2.0	4.0	5.8	3.6
baseline	14	14.0	9	word	numeric	informative	-5	1.9	1.3	2.0	4.0	5.3	7.2
baseline	20	20.0	19	word	word	informative	-1	1.6	2.1	2.0	3.2	3.4	3.5
baseline	18	18.0	15	word	word	informative	-3	2.8	1.8	2.0	4.1	6.4	4.2
baseline	10	10.0	18	word	numeric	informative	8	2.4	1.9	2.0	3.3	3.9	7.0
math	10+28	38.0	42	numeric	numeric	informative	4	1.3	1.7	2.0	5.3	5.6	5.4
math	9+6	15.0	16	numeric	word	noninformative	1	1.3	1.1	2.0	4.5	3.9	3.3
baseline	20	20.0	17	word	numeric	noninformative	-3	2.0	1.1	2.0	4.6	4.5	5.0
baseline	28	28.0	27	word	numeric	noninformative	-1	2.5	2.8	2.0	5.1	4.3	3.1
math	30/6	5.0	15	word	word	informative	10	2.9	2.9	2.0	4.7	4.6	5.7
math	21*6	126.0	129	numeric	word	noninformative	3	1.7	2.6	2.0	5.7	5.0	4.9
baseline	15	15.0	16	word	numeric	informative	1	2.4	1.1	2.0	7.3	7.8	3.5
math	13/2	6.5	2	numeric	word	informative	-5	2.7	1.9	2.0	3.5	5.5	4.3
math	27*18	486.0	485	numeric	word	noninformative	-1	2.1	1.1	2.0	5.7	5.7	5.6
math	22-19	3.0	-3	numeric	word	informative	-6	1.9	2.3	2.0	4.8	4.4	5.0
math	19+17	36.0	31	numeric	numeric	noninformative	-5	1.4	2.2	2.0	7.2	4.2	3.6
math	5*12	60.0	58	word	word	noninformative	-2	1.3	1.1	2.0	4.3	6.0	5.7
math	19/3	6.3	8	word	numeric	noninformative	2	2.0	2.3	2.0	6.6	4.5	5.3
math	22-2	20.0	23	numeric	numeric	informative	3	2.2	1.6	2.0	5.8	4.9	5.9
math	4-25	-21.0	-24	word	numeric	informative	-3	1.4	2.9	2.0	7.5	4.0	5.1
math	27/25	1.1	0	numeric	word	noninformative	-1	1.0	1.5	2.0	5.3	4.2	4.9
math	23*16	368.0	367	numeric	word	noninformative	-1	1.3	2.2	2.0	2.6	5.3	4.1
baseline	17	17.0	17	numeric	numeric	noninformative	0	1.2	2.3	2.0	1.7	3.3	5.0
