trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	duration	comparison_duration	feedback_duration	iti	isi1	isi2
baseline	19	19.0	17	word	word	noninformative	-2	1.5	2.3	2.0	5.3	4.8	2.8
math	17-7	10.0	7	numeric	numeric	informative	-3	2.5	2.9	2.0	4.1	3.8	4.7
math	11+23	34.0	24	numeric	word	noninformative	-10	2.9	2.8	2.0	6.0	5.0	3.4
baseline	21	21.0	21	numeric	word	noninformative	0	1.1	2.7	2.0	6.6	2.9	6.0
baseline	2	2.0	-4	numeric	word	noninformative	-6	2.7	2.8	2.0	3.4	3.5	6.6
math	9*14	126.0	126	numeric	numeric	informative	0	2.9	1.6	2.0	3.3	4.5	6.9
math	13-23	-10.0	-10	numeric	numeric	informative	0	1.4	1.3	2.0	5.5	4.1	5.2
math	4-16	-12.0	-2	word	numeric	informative	10	1.0	1.3	2.0	2.8	6.3	3.4
math	29-19	10.0	12	numeric	numeric	informative	2	2.2	1.0	2.0	4.0	5.1	5.8
math	22+1	23.0	14	numeric	numeric	noninformative	-9	2.9	3.0	2.0	5.2	3.6	5.8
math	4*18	72.0	75	numeric	word	noninformative	3	1.5	2.6	2.0	2.3	7.6	3.4
baseline	10	10.0	11	word	numeric	informative	1	2.4	1.2	2.0	4.1	5.0	7.0
math	25+24	49.0	40	word	word	informative	-9	2.5	2.2	2.0	5.0	3.1	5.3
math	24/21	1.1	-5	numeric	word	noninformative	-6	2.6	1.1	2.0	7.0	3.6	3.0
math	7/7	1.0	0	numeric	word	noninformative	-1	2.5	2.9	2.0	3.9	3.6	5.3
math	3+11	14.0	17	word	numeric	informative	3	2.5	1.9	2.0	3.9	4.7	3.8
math	23/6	3.8	9	numeric	numeric	informative	5	1.3	1.9	2.0	2.9	3.7	4.7
baseline	4	4.0	6	word	word	noninformative	2	1.3	1.5	2.0	4.9	3.0	6.4
math	21*4	84.0	86	word	word	noninformative	2	1.4	2.7	2.0	4.3	4.5	4.9
baseline	23	23.0	23	word	word	informative	0	2.7	2.1	2.0	7.1	5.7	5.4
math	17*29	493.0	495	word	numeric	informative	2	1.8	2.8	2.0	5.2	5.8	4.1
baseline	27	27.0	17	word	numeric	noninformative	-10	2.0	1.0	2.0	6.8	3.5	6.6
baseline	20	20.0	21	word	numeric	informative	1	1.4	2.6	2.0	2.9	4.4	6.2
math	16/3	5.3	14	word	word	noninformative	9	1.5	1.4	2.0	6.8	4.2	3.9
