trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
math	10*26	260.0	269	numeric	numeric	noninformative	9	1.7	3.2	1.7	3.6	0.5	5.6
math	27/17	1.6	1	numeric	numeric	noninformative	-1	1.7	4.8	3.0	7.2	0.5	3.3
math	26-24	2.0	-2	word	word	noninformative	-4	2.9	3.6	2.4	4.4	0.5	6.1
baseline	11	11.0	9	numeric	numeric	informative	-2	2.8	3.2	2.8	5.0	0.5	7.0
math	9+7	16.0	11	word	word	noninformative	-5	2.7	4.5	3.0	4.3	0.5	4.2
baseline	8	8.0	15	word	numeric	noninformative	7	1.1	4.5	2.5	3.7	0.5	7.5
baseline	15	15.0	9	word	numeric	informative	-6	1.5	3.5	1.7	3.4	0.5	2.7
math	17+23	40.0	34	numeric	word	informative	-6	2.0	4.9	1.5	7.1	0.5	4.5
baseline	14	14.0	15	word	numeric	informative	1	1.2	4.3	1.2	3.4	0.5	5.4
baseline	23	23.0	23	numeric	numeric	noninformative	0	2.6	4.4	1.4	3.9	0.5	5.3
baseline	5	5.0	-4	word	word	noninformative	-9	1.8	3.1	1.4	3.9	0.5	6.1
math	30-20	10.0	18	numeric	word	noninformative	8	1.9	4.3	2.2	5.3	0.5	3.9
baseline	1	1.0	7	numeric	word	noninformative	6	2.5	3.3	1.5	3.6	0.5	7.7
math	5-13	-8.0	-7	word	word	informative	1	2.1	3.3	1.7	4.0	0.5	3.2
math	23*1	23.0	18	word	numeric	informative	-5	1.5	5.0	1.2	4.9	0.5	4.5
baseline	22	22.0	30	word	numeric	noninformative	8	2.1	4.1	2.4	3.6	0.5	4.6
math	29/17	1.7	8	numeric	word	informative	6	1.3	4.1	1.6	5.5	0.5	3.5
math	16-26	-10.0	-16	numeric	numeric	informative	-6	1.9	4.9	2.0	2.7	0.5	4.6
math	17+26	43.0	43	numeric	word	informative	0	1.9	6.0	1.4	4.2	0.5	6.5
math	27/20	1.4	10	word	word	noninformative	9	2.4	5.3	1.7	4.9	0.5	5.4
math	11/1	11.0	12	numeric	word	informative	1	2.9	4.8	1.7	6.5	0.5	2.7
math	7*3	21.0	21	word	numeric	informative	0	2.2	4.9	1.3	4.3	0.5	6.3
math	15*13	195.0	194	word	numeric	noninformative	-1	1.8	4.4	2.7	3.8	0.5	5.0
math	5+29	34.0	35	numeric	word	informative	1	2.8	6.1	1.6	2.8	0.5	11.0
