trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
division	16/6	2.7	4	word	numeric	noninformative	1	2.3	3.6	2.4	4.4	0.5	5.0
division	11/8	1.4	-7	numeric	numeric	noninformative	-8	1.8	3.6	1.5	6.0	0.5	4.6
subtraction	18-6	12.0	16	word	word	noninformative	4	1.2	3.1	1.4	7.9	0.5	5.7
addition	23+4	27.0	33	word	word	noninformative	6	2.2	3.2	2.6	5.2	0.5	8.0
multiplication	23*8	184.0	182	word	numeric	noninformative	-2	2.0	5.1	2.1	5.3	0.5	5.7
division	25/15	1.7	3	numeric	word	noninformative	1	2.5	2.9	3.0	6.9	0.5	5.1
subtraction	14-15	-1.0	-11	word	numeric	informative	-10	2.3	3.7	2.6	5.9	0.5	4.0
subtraction	27-12	15.0	16	numeric	word	informative	1	2.9	6.6	1.9	4.3	0.5	5.7
division	10/4	2.5	12	numeric	word	informative	10	1.7	2.9	1.9	6.2	0.5	3.2
multiplication	18*6	108.0	111	word	numeric	noninformative	3	1.1	4.0	2.2	5.5	0.5	4.0
division	23/15	1.5	10	word	word	informative	8	1.7	4.3	2.6	3.5	0.5	3.7
multiplication	2*3	6.0	9	numeric	numeric	noninformative	3	1.8	5.8	1.2	4.2	0.5	3.8
multiplication	22*2	44.0	45	word	numeric	noninformative	1	2.2	4.8	1.6	5.0	0.5	4.3
addition	24+1	25.0	23	numeric	numeric	noninformative	-2	2.2	4.5	1.2	5.6	0.5	4.2
multiplication	6*3	18.0	16	numeric	numeric	informative	-2	2.2	4.0	2.7	3.2	0.5	3.8
addition	17+22	39.0	40	numeric	numeric	informative	1	2.7	4.8	1.9	3.9	0.5	3.9
subtraction	7-16	-9.0	-7	numeric	numeric	informative	2	1.1	4.4	2.9	3.7	0.5	3.6
addition	28+25	53.0	55	word	word	informative	2	2.5	5.3	1.0	3.5	0.5	3.9
addition	10+21	31.0	28	numeric	word	informative	-3	2.5	4.9	1.2	4.9	0.5	2.7
subtraction	26-17	9.0	6	word	word	noninformative	-3	1.1	4.0	2.1	6.7	0.5	5.5
division	20/10	2.0	4	numeric	word	informative	2	2.0	3.4	1.9	2.7	0.5	5.7
subtraction	30-23	7.0	9	word	numeric	informative	2	2.3	4.0	1.2	4.7	0.5	6.7
addition	11+10	21.0	11	word	word	informative	-10	1.4	3.7	1.2	6.8	0.5	3.7
multiplication	26*7	182.0	180	numeric	word	noninformative	-2	1.6	3.5	2.5	5.2	0.5	2.5
