trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
math	6+2	8.0	12	numeric	word	informative	4	2.6	4.0	3.0	3.7	0.5	4.5
baseline	26	26.0	26	word	numeric	noninformative	0	2.3	4.3	1.5	5.5	0.5	4.2
math	1*9	9.0	5	numeric	numeric	noninformative	-4	2.9	5.0	1.2	5.9	0.5	3.5
math	8*6	48.0	49	numeric	word	noninformative	1	2.2	4.6	2.5	4.2	0.5	4.2
math	7-20	-13.0	-22	word	word	informative	-9	2.6	5.9	2.1	4.4	0.5	4.9
math	30-10	20.0	13	word	numeric	informative	-7	1.6	3.2	2.3	6.0	0.5	4.9
math	20-18	2.0	2	word	word	noninformative	0	1.1	4.5	1.1	3.3	0.5	4.9
math	28+24	52.0	49	numeric	word	noninformative	-3	2.3	4.7	1.8	4.4	0.5	3.2
baseline	16	16.0	19	word	word	informative	3	2.6	3.7	1.7	6.8	0.5	5.5
math	23+26	49.0	50	numeric	numeric	noninformative	1	2.8	7.4	1.0	7.6	0.5	6.2
math	22+6	28.0	35	word	numeric	informative	7	2.1	4.1	2.4	3.7	0.5	7.7
baseline	20	20.0	18	numeric	word	informative	-2	1.1	5.9	2.4	3.6	0.5	4.0
baseline	3	3.0	-1	word	numeric	informative	-4	2.1	4.3	1.4	4.3	0.5	4.9
baseline	21	21.0	16	numeric	numeric	noninformative	-5	1.6	4.4	1.7	2.7	0.5	4.9
math	3/2	1.5	0	word	word	noninformative	-1	1.2	5.5	1.2	4.3	0.5	3.6
math	8*20	160.0	159	numeric	numeric	noninformative	-1	3.0	3.8	2.8	6.4	0.5	3.1
baseline	14	14.0	10	numeric	numeric	informative	-4	2.3	3.8	2.9	4.8	0.5	3.3
math	20/3	6.7	8	word	word	noninformative	1	2.4	2.8	1.9	4.5	0.5	3.6
math	18-29	-11.0	-19	numeric	word	informative	-8	2.5	3.2	2.7	2.8	0.5	4.4
baseline	27	27.0	20	word	word	informative	-7	1.2	4.2	1.9	4.9	0.5	4.3
math	21*3	63.0	65	numeric	numeric	noninformative	2	2.9	2.9	2.5	4.2	0.5	3.5
math	20/18	1.1	1	word	numeric	informative	0	1.9	5.2	1.2	4.9	0.5	3.1
baseline	30	30.0	29	word	numeric	noninformative	-1	2.4	6.0	2.5	4.9	0.5	5.6
math	23/3	7.7	7	numeric	word	informative	-1	2.2	4.1	2.6	4.4	0.5	10.1
