trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
baseline	20	20.0	15	word	numeric	noninformative	-5	2.3	4.6	1.4	4.7	0.5	3.8
math	14*12	168.0	177	word	numeric	noninformative	9	1.5	5.7	2.6	5.4	0.5	5.1
math	2+4	6.0	-2	numeric	word	noninformative	-8	2.7	4.0	2.9	5.3	0.5	5.7
math	14-30	-16.0	-19	word	word	informative	-3	1.6	3.1	1.2	4.0	0.5	3.6
math	12/6	2.0	1	numeric	numeric	informative	-1	1.3	2.9	1.7	4.4	0.5	3.3
math	15-23	-8.0	-5	numeric	word	noninformative	3	1.0	5.0	1.3	5.1	0.5	5.9
math	13/1	13.0	13	numeric	word	noninformative	0	2.6	3.3	2.7	6.4	0.5	4.2
math	25/17	1.5	5	word	numeric	informative	4	1.8	5.5	2.9	4.5	0.5	3.5
math	29/10	2.9	4	word	word	informative	1	2.7	6.0	1.9	4.6	0.5	4.2
math	17+9	26.0	25	word	numeric	noninformative	-1	2.1	5.9	2.1	5.0	0.5	4.3
math	21-7	14.0	12	word	word	noninformative	-2	2.0	4.3	2.0	3.4	0.5	3.6
math	25+9	34.0	31	numeric	numeric	informative	-3	1.8	6.3	3.0	3.6	0.5	3.3
baseline	18	18.0	26	word	numeric	noninformative	8	1.3	5.4	1.4	3.1	0.5	3.9
math	6*12	72.0	65	numeric	word	informative	-7	1.3	3.5	2.6	5.6	0.5	6.7
math	8+24	32.0	34	numeric	numeric	noninformative	2	2.8	3.7	2.5	4.4	0.5	4.5
baseline	19	19.0	18	word	word	informative	-1	1.1	3.3	2.2	5.5	0.5	4.1
baseline	13	13.0	13	numeric	word	noninformative	0	2.7	7.5	1.8	2.8	0.5	3.7
baseline	19	19.0	18	numeric	word	informative	-1	2.3	3.6	2.9	7.3	0.5	3.1
math	30*10	300.0	303	numeric	word	informative	3	2.0	3.8	2.5	3.3	0.5	3.8
baseline	13	13.0	10	numeric	word	informative	-3	2.9	5.6	1.7	4.7	0.5	4.4
math	9*26	234.0	234	word	numeric	informative	0	2.3	5.8	2.1	5.4	0.5	3.6
baseline	30	30.0	32	numeric	numeric	informative	2	2.4	4.1	2.3	4.4	0.5	5.2
math	30-25	5.0	8	word	numeric	noninformative	3	2.4	4.9	2.9	4.6	0.5	5.0
baseline	27	27.0	22	word	numeric	noninformative	-5	1.9	3.5	2.2	6.2	0.5	6.9
