trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
baseline	4	4.0	7	numeric	numeric	noninformative	3	3.0	4.8	1.7	2.5	0.5	4.9
math	29-28	1.0	-2	numeric	numeric	informative	-3	1.7	4.1	2.1	3.3	0.5	3.8
math	29/5	5.8	16	word	numeric	noninformative	10	2.3	5.2	2.5	6.9	0.5	5.1
math	28+22	50.0	59	word	numeric	noninformative	9	1.4	6.6	2.5	3.5	0.5	7.0
baseline	1	1.0	2	numeric	word	noninformative	1	1.7	4.2	3.0	5.1	0.5	3.5
baseline	6	6.0	4	numeric	word	informative	-2	2.6	4.1	2.9	5.1	0.5	2.9
math	7+11	18.0	16	word	numeric	noninformative	-2	1.5	3.4	2.1	6.1	0.5	5.0
math	22-2	20.0	20	word	numeric	informative	0	1.9	4.4	3.0	2.8	0.5	5.2
math	21*16	336.0	327	numeric	word	noninformative	-9	2.8	4.0	2.0	4.9	0.5	4.1
math	19/1	19.0	17	numeric	numeric	noninformative	-2	1.8	6.5	1.7	3.7	0.5	3.5
math	22-2	20.0	15	word	numeric	informative	-5	1.7	4.4	2.9	4.4	0.5	3.4
math	4+9	13.0	14	numeric	word	informative	1	1.2	3.8	1.4	3.2	0.5	5.2
math	6*19	114.0	108	word	numeric	noninformative	-6	2.7	3.6	1.8	3.8	0.5	6.9
baseline	1	1.0	0	numeric	word	informative	-1	1.2	7.1	1.9	3.8	0.5	3.2
math	6*12	72.0	82	word	word	noninformative	10	2.3	4.9	1.3	3.8	0.5	5.7
baseline	2	2.0	-3	word	numeric	noninformative	-5	2.1	5.4	2.5	7.5	0.5	5.2
math	16-29	-13.0	-5	word	word	noninformative	8	2.7	4.6	2.2	3.0	0.5	3.0
math	30/12	2.5	12	numeric	word	informative	10	1.5	5.3	1.3	4.6	0.5	6.3
baseline	29	29.0	30	numeric	word	informative	1	1.9	3.9	2.6	5.3	0.5	3.7
baseline	7	7.0	-1	word	word	informative	-8	2.8	4.1	1.3	4.4	0.5	6.5
math	15+1	16.0	17	word	numeric	informative	1	2.5	2.7	2.5	3.9	0.5	2.9
baseline	9	9.0	12	word	word	informative	3	2.4	4.7	1.5	6.4	0.5	4.9
math	30/13	2.3	1	numeric	numeric	informative	-1	1.1	4.3	2.5	5.4	0.5	5.3
math	23*28	644.0	636	numeric	word	noninformative	-8	1.0	4.6	1.3	5.7	0.5	6.7
