trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
math	7+7	14.0	17	word	word	informative	3	1.5	5.9	1.6	3.7	0.5	4.5
baseline	6	6.0	15	numeric	word	informative	9	1.1	5.7	1.2	2.4	0.5	4.8
baseline	21	21.0	21	numeric	word	informative	0	2.2	4.1	3.0	4.3	0.5	4.5
math	10*28	280.0	281	numeric	numeric	informative	1	1.2	4.4	2.5	3.3	0.5	2.7
math	30-17	13.0	14	word	numeric	noninformative	1	2.2	5.7	2.1	5.6	0.5	3.9
baseline	29	29.0	37	word	numeric	informative	8	1.6	6.6	1.3	3.7	0.5	3.8
math	11-22	-11.0	-9	numeric	word	informative	2	2.6	3.9	2.5	3.9	0.5	4.1
math	29/28	1.0	8	numeric	numeric	noninformative	7	1.2	5.7	2.0	4.5	0.5	3.8
math	27-29	-2.0	0	word	numeric	noninformative	2	2.4	3.8	2.6	5.3	0.5	5.3
math	27-4	23.0	24	numeric	numeric	informative	1	2.9	3.4	2.4	4.6	0.5	2.6
math	7*6	42.0	42	word	word	noninformative	0	2.7	5.3	1.0	4.6	0.5	3.5
math	6+28	34.0	32	word	numeric	noninformative	-2	2.6	4.9	2.0	3.3	0.5	5.3
baseline	16	16.0	18	numeric	word	noninformative	2	2.9	3.3	2.3	4.1	0.5	2.9
baseline	5	5.0	4	word	word	noninformative	-1	2.1	6.2	2.4	5.7	0.5	3.1
baseline	8	8.0	3	word	word	informative	-5	2.0	2.4	2.0	7.5	0.5	7.6
math	2*17	34.0	30	numeric	word	noninformative	-4	2.9	3.3	3.0	4.0	0.5	3.5
math	30/4	7.5	8	numeric	word	noninformative	1	2.6	3.5	1.7	5.0	0.5	3.3
math	23/18	1.3	-4	numeric	word	noninformative	-5	2.2	3.7	1.7	3.3	0.5	5.2
baseline	5	5.0	8	word	numeric	noninformative	3	1.3	4.7	1.3	3.8	0.5	3.6
math	1*15	15.0	18	word	numeric	informative	3	1.4	7.0	1.7	5.5	0.5	3.7
math	22/6	3.7	3	numeric	numeric	informative	-1	1.1	6.2	1.3	3.9	0.5	6.5
baseline	26	26.0	28	word	numeric	informative	2	1.5	5.5	2.7	2.8	0.5	4.4
math	28+18	46.0	41	word	numeric	informative	-5	2.1	4.3	2.2	5.9	0.5	7.2
math	7+18	25.0	21	numeric	word	noninformative	-4	2.4	7.6	1.9	4.9	0.5	12.4
