trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	duration	comparison_duration	feedback_duration	iti	isi1	isi2
math	27-20	7.0	7	word	word	noninformative	0	1.1	2.9	2.0	4.8	4.8	5.2
baseline	16	16.0	9	numeric	numeric	informative	-7	1.4	1.5	2.0	4.0	3.8	3.9
math	10+10	20.0	25	word	word	informative	5	2.3	2.8	2.0	4.8	3.7	3.7
baseline	13	13.0	13	numeric	numeric	noninformative	0	2.6	1.1	2.0	5.4	5.5	3.5
math	14+15	29.0	27	word	word	noninformative	-2	2.4	1.4	2.0	4.5	5.3	4.2
math	29/14	2.1	1	numeric	word	informative	-1	1.3	2.4	2.0	4.2	3.7	3.1
baseline	4	4.0	3	word	numeric	noninformative	-1	2.9	1.5	2.0	4.0	3.5	3.3
math	18*14	252.0	258	word	numeric	informative	6	2.3	1.4	2.0	5.8	3.6	7.6
baseline	16	16.0	15	numeric	word	informative	-1	2.7	1.3	2.0	3.9	3.6	7.1
math	7*22	154.0	148	numeric	word	informative	-6	2.7	1.0	2.0	5.5	4.3	6.0
math	7-15	-8.0	-9	numeric	numeric	noninformative	-1	2.0	2.6	2.0	7.4	3.8	5.3
baseline	22	22.0	24	numeric	numeric	noninformative	2	1.7	2.1	2.0	7.3	6.3	3.5
baseline	3	3.0	-1	numeric	word	informative	-4	1.4	2.3	2.0	4.4	4.8	3.1
math	24/20	1.2	-4	word	numeric	noninformative	-5	2.5	2.8	2.0	4.0	4.8	3.7
math	16+29	45.0	54	word	numeric	noninformative	9	1.1	2.2	2.0	4.7	4.2	3.0
math	7*12	84.0	82	word	numeric	informative	-2	2.6	1.1	2.0	3.5	6.4	4.4
math	3-22	-19.0	-10	numeric	numeric	informative	9	2.4	1.3	2.0	3.5	3.3	4.7
baseline	7	7.0	6	numeric	word	noninformative	-1	1.1	2.6	2.0	4.7	5.8	5.4
math	22/20	1.1	7	numeric	word	informative	6	1.8	3.0	2.0	5.0	4.6	6.4
math	3+19	22.0	19	word	word	informative	-3	2.7	1.7	2.0	4.3	6.0	3.7
math	20-7	13.0	15	word	word	noninformative	2	2.5	2.4	2.0	4.5	5.1	6.2
baseline	24	24.0	23	word	numeric	noninformative	-1	2.9	2.9	2.0	5.2	2.6	4.7
math	18*6	108.0	118	numeric	numeric	informative	10	2.7	2.0	2.0	6.5	3.1	4.9
math	22/6	3.7	4	word	word	noninformative	0	1.4	1.2	2.0	8.0	5.0	5.9
