trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	duration	comparison_duration	feedback_duration	iti	isi1	isi2
math	21/18	1.2	1	numeric	numeric	noninformative	0	1.8	2.7	2.0	2.3	3.7	4.3
math	15*27	405.0	410	word	numeric	noninformative	5	1.1	2.0	2.0	4.4	3.6	5.4
math	1+27	28.0	29	numeric	word	informative	1	2.6	2.3	2.0	7.5	4.2	6.0
math	25+23	48.0	51	word	word	informative	3	1.6	2.7	2.0	2.9	3.6	4.6
baseline	7	7.0	12	numeric	numeric	noninformative	5	1.9	1.9	2.0	5.3	3.2	6.8
math	29*25	725.0	728	word	word	informative	3	1.6	2.5	2.0	4.2	5.2	4.5
baseline	30	30.0	28	word	numeric	noninformative	-2	2.1	2.3	2.0	4.7	4.7	6.8
math	20*14	280.0	282	numeric	word	noninformative	2	2.2	1.7	2.0	4.5	4.2	4.9
math	26+13	39.0	38	word	word	informative	-1	2.6	1.0	2.0	7.1	3.7	3.1
math	13/5	2.6	-4	word	word	informative	-7	2.4	2.1	2.0	7.8	3.8	7.8
baseline	10	10.0	8	numeric	numeric	noninformative	-2	3.0	1.6	2.0	5.5	5.2	4.5
math	17*8	136.0	140	numeric	numeric	informative	4	2.2	1.3	2.0	5.2	6.2	7.5
math	5-17	-12.0	-14	word	numeric	informative	-2	2.6	2.1	2.0	3.5	4.5	4.6
math	24/5	4.8	5	word	numeric	noninformative	0	2.4	1.4	2.0	3.6	4.3	3.4
math	9-19	-10.0	-12	numeric	numeric	noninformative	-2	1.1	1.8	2.0	6.3	4.7	6.1
baseline	23	23.0	22	word	word	noninformative	-1	2.8	1.5	2.0	4.0	4.2	4.5
baseline	8	8.0	2	numeric	word	noninformative	-6	1.9	1.1	2.0	4.5	5.5	3.5
math	23-20	3.0	10	word	word	informative	7	1.2	2.1	2.0	4.4	5.1	5.1
math	19+11	30.0	28	numeric	numeric	informative	-2	2.7	2.8	2.0	5.7	3.5	4.6
baseline	28	28.0	27	numeric	word	noninformative	-1	1.4	1.4	2.0	4.7	3.4	4.8
math	6/2	3.0	12	word	numeric	informative	9	1.3	2.4	2.0	4.1	4.2	3.7
math	28-2	26.0	16	word	word	informative	-10	1.9	2.4	2.0	3.0	3.2	6.4
baseline	17	17.0	21	numeric	numeric	noninformative	4	2.3	1.1	2.0	7.9	4.2	4.0
baseline	3	3.0	6	numeric	word	informative	3	2.9	2.2	2.0	4.1	5.7	4.1
