trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
math	23/6	3.8	6	word	numeric	informative	2	2.2	6.5	2.5	5.6	0.5	5.7
math	1*30	30.0	30	numeric	numeric	noninformative	0	2.9	3.4	2.7	3.1	0.5	3.8
math	5+5	10.0	14	word	numeric	noninformative	4	1.6	4.6	2.6	4.7	0.5	2.8
baseline	14	14.0	5	numeric	numeric	noninformative	-9	1.1	3.7	2.6	2.6	0.5	5.0
math	6+13	19.0	10	word	word	noninformative	-9	1.9	3.5	2.4	3.7	0.5	5.0
baseline	27	27.0	29	word	numeric	noninformative	2	2.0	5.6	2.5	7.7	0.5	4.8
math	24-16	8.0	7	word	numeric	noninformative	-1	3.0	7.1	2.6	5.2	0.5	3.4
math	13+7	20.0	18	numeric	word	informative	-2	2.5	4.1	1.3	6.4	0.5	5.0
baseline	9	9.0	13	word	word	informative	4	1.8	3.3	1.1	3.6	0.5	5.5
math	23/8	2.9	1	word	word	informative	-2	2.2	3.6	2.0	3.2	0.5	3.4
math	29/11	2.6	0	numeric	word	informative	-3	2.6	6.4	1.6	5.4	0.5	3.2
math	7*30	210.0	201	word	word	informative	-9	1.5	4.7	2.2	5.7	0.5	6.0
math	29/20	1.4	-1	numeric	word	noninformative	-2	2.1	6.1	1.8	4.5	0.5	3.4
baseline	11	11.0	11	word	word	noninformative	0	1.4	2.2	2.1	5.2	0.5	4.4
baseline	18	18.0	15	numeric	word	informative	-3	1.8	4.0	1.1	4.8	0.5	5.7
math	19-10	9.0	3	word	numeric	noninformative	-6	1.6	4.3	2.6	7.3	0.5	5.9
baseline	10	10.0	12	numeric	numeric	informative	2	1.4	5.0	2.5	3.9	0.5	4.2
baseline	18	18.0	20	numeric	numeric	informative	2	1.2	3.7	1.3	3.7	0.5	4.2
math	17*22	374.0	375	numeric	word	noninformative	1	1.6	4.6	2.2	4.3	0.5	5.5
math	15-5	10.0	20	numeric	numeric	informative	10	1.1	5.3	1.0	3.4	0.5	5.9
baseline	7	7.0	9	word	word	noninformative	2	1.2	5.8	2.3	2.8	0.5	3.6
math	6+4	10.0	5	word	word	informative	-5	1.2	3.4	1.5	4.2	0.5	3.8
math	4*20	80.0	76	numeric	numeric	noninformative	-4	1.9	4.3	1.2	4.7	0.5	7.1
math	15-3	12.0	17	numeric	numeric	informative	5	1.5	2.5	2.9	3.4	0.5	16.0
