trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	duration	comparison_duration	feedback_duration	iti	isi1	isi2
baseline	16	16.0	10	numeric	word	informative	-6	1.8	2.8	2.0	3.5	4.4	5.6
math	13*30	390.0	392	word	word	noninformative	2	2.1	2.5	2.0	6.2	3.6	4.4
math	3*11	33.0	33	word	word	noninformative	0	2.7	1.2	2.0	5.9	3.3	3.8
math	17-24	-7.0	-5	numeric	numeric	noninformative	2	2.1	2.3	2.0	7.4	3.6	4.8
math	9*8	72.0	75	numeric	numeric	informative	3	2.9	1.6	2.0	6.1	6.3	3.4
math	21-5	16.0	15	word	word	noninformative	-1	2.9	2.3	2.0	3.6	3.6	4.7
math	13+8	21.0	31	word	word	noninformative	10	2.9	2.5	2.0	3.9	4.6	4.4
math	8-9	-1.0	9	numeric	numeric	informative	10	2.1	2.4	2.0	4.9	3.0	4.2
baseline	4	4.0	8	word	word	informative	4	2.7	1.9	2.0	5.5	3.2	6.2
baseline	2	2.0	-5	word	numeric	informative	-7	2.3	1.3	2.0	4.6	4.6	4.9
math	24-18	6.0	5	word	numeric	informative	-1	2.8	1.7	2.0	4.7	3.8	3.0
math	20/17	1.2	11	word	word	noninformative	10	1.3	1.1	2.0	5.5	3.1	3.9
math	4+22	26.0	32	numeric	word	informative	6	1.7	1.9	2.0	5.3	3.8	3.9
baseline	4	4.0	4	numeric	numeric	noninformative	0	1.4	2.2	2.0	5.5	3.7	6.8
baseline	28	28.0	31	numeric	word	noninformative	3	2.6	2.7	2.0	4.3	4.2	4.7
math	3+17	20.0	21	word	numeric	informative	1	2.7	2.9	2.0	3.6	5.7	5.6
baseline	3	3.0	5	word	word	informative	2	1.7	2.2	2.0	4.3	3.8	3.3
math	26/24	1.1	-1	numeric	word	informative	-2	2.3	2.9	2.0	4.1	4.5	5.6
baseline	14	14.0	10	numeric	numeric	noninformative	-4	1.5	2.6	2.0	6.5	6.3	5.7
math	8/4	2.0	10	word	numeric	informative	8	3.0	1.9	2.0	4.2	2.9	4.2
math	13+19	32.0	30	numeric	numeric	noninformative	-2	2.6	2.1	2.0	7.3	3.7	4.3
math	9*8	72.0	67	numeric	word	noninformative	-5	1.6	1.9	2.0	5.7	5.0	3.8
math	8/1	8.0	7	word	numeric	informative	-1	1.3	2.4	2.0	3.8	3.4	3.6
baseline	5	5.0	7	numeric	numeric	noninformative	2	2.5	2.8	2.0	8.6	4.6	3.9
