trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	duration	comparison_duration	feedback_duration	iti	isi1	isi2
math	22+4	26.0	36	numeric	word	informative	10	2.9	1.5	2.0	4.3	5.2	3.5
math	19-3	16.0	17	numeric	numeric	noninformative	1	2.7	1.3	2.0	4.0	5.4	3.4
baseline	10	10.0	10	numeric	numeric	informative	0	2.2	2.8	2.0	7.2	7.6	4.6
math	9-30	-21.0	-20	numeric	word	informative	1	1.8	1.4	2.0	5.4	5.5	4.0
baseline	8	8.0	7	numeric	numeric	informative	-1	1.0	2.3	2.0	5.4	5.2	3.4
math	22/2	11.0	9	numeric	numeric	noninformative	-2	2.2	2.9	2.0	5.0	5.8	5.7
math	5-12	-7.0	-13	word	numeric	informative	-6	1.0	1.9	2.0	3.6	4.2	4.7
math	23*1	23.0	21	word	numeric	noninformative	-2	2.2	2.4	2.0	4.3	4.6	3.6
baseline	8	8.0	6	word	word	noninformative	-2	2.8	1.8	2.0	3.5	4.1	3.5
math	13+25	38.0	45	numeric	numeric	informative	7	2.4	1.0	2.0	3.6	3.3	5.0
math	17/8	2.1	10	numeric	numeric	noninformative	8	1.3	2.9	2.0	3.6	3.4	5.2
math	19/17	1.1	-6	numeric	word	informative	-7	2.6	1.8	2.0	3.6	3.5	3.7
math	29/17	1.7	4	word	word	informative	2	2.0	1.7	2.0	4.4	3.6	6.0
math	16*19	304.0	306	word	word	noninformative	2	2.5	2.4	2.0	5.5	4.5	3.3
baseline	30	30.0	24	numeric	word	noninformative	-6	2.5	1.4	2.0	3.8	5.4	3.5
baseline	5	5.0	7	numeric	word	noninformative	2	2.5	2.4	2.0	4.9	6.9	5.9
baseline	13	13.0	4	word	numeric	informative	-9	2.1	2.8	2.0	4.8	6.8	5.4
baseline	20	20.0	18	word	word	informative	-2	2.0	2.6	2.0	4.3	3.5	3.0
math	7+8	15.0	15	word	numeric	noninformative	0	2.0	1.5	2.0	4.4	3.6	3.8
math	3-19	-16.0	-15	word	word	informative	1	2.8	2.9	2.0	7.1	6.7	3.5
math	13+28	41.0	44	word	numeric	noninformative	3	2.3	2.6	2.0	6.0	2.4	6.8
math	24*10	240.0	243	word	word	informative	3	1.3	2.4	2.0	5.8	5.4	5.7
baseline	12	12.0	5	word	numeric	noninformative	-7	2.9	2.0	2.0	4.7	4.6	4.1
math	27*13	351.0	356	numeric	word	noninformative	5	2.4	1.6	2.0	2.4	5.1	6.1
