trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
math	14+22	36.0	30	numeric	numeric	noninformative	-6	2.3	3.7	1.6	5.0	0.5	3.8
math	18+15	33.0	32	numeric	word	noninformative	-1	3.0	7.0	2.7	5.9	0.5	4.6
baseline	29	29.0	29	word	numeric	informative	0	1.8	4.6	2.7	3.5	0.5	5.0
math	27+4	31.0	32	numeric	numeric	noninformative	1	2.7	7.3	2.0	5.6	0.5	3.4
baseline	14	14.0	9	numeric	numeric	noninformative	-5	1.9	6.0	2.6	3.3	0.5	2.4
math	9-9	0.0	-9	word	word	noninformative	-9	2.1	3.3	2.0	5.7	0.5	4.3
baseline	25	25.0	26	word	word	informative	1	2.2	7.3	1.4	4.5	0.5	3.7
math	23/2	11.5	8	numeric	word	noninformative	-3	1.7	7.5	2.7	4.0	0.5	6.2
math	2-19	-17.0	-17	numeric	numeric	noninformative	0	3.0	7.1	1.6	3.9	0.5	2.7
math	19/6	3.2	3	word	numeric	informative	0	1.5	4.3	1.5	5.5	0.5	2.3
math	7*16	112.0	103	numeric	word	informative	-9	2.9	5.1	2.7	5.1	0.5	7.9
math	6-11	-5.0	-7	word	numeric	informative	-2	1.1	3.4	1.9	2.9	0.5	3.6
baseline	21	21.0	19	word	word	noninformative	-2	1.8	4.2	2.2	2.9	0.5	6.1
baseline	23	23.0	21	numeric	word	informative	-2	2.7	5.9	2.9	2.8	0.5	3.9
math	29-17	12.0	12	word	numeric	informative	0	2.2	5.2	1.6	3.8	0.5	5.2
math	7/2	3.5	6	word	word	informative	3	1.2	5.3	2.7	3.5	0.5	4.2
math	13*3	39.0	38	word	word	noninformative	-1	1.2	2.9	1.2	3.6	0.5	5.8
baseline	4	4.0	5	word	numeric	noninformative	1	2.8	5.2	2.6	3.3	0.5	5.9
math	5*8	40.0	40	word	word	informative	0	1.9	2.1	1.5	4.9	0.5	4.9
baseline	8	8.0	8	numeric	numeric	noninformative	0	2.1	3.3	1.2	3.4	0.5	3.9
math	16/7	2.3	-6	numeric	numeric	informative	-8	2.2	4.1	2.9	3.4	0.5	2.8
baseline	8	8.0	3	numeric	word	informative	-5	2.1	4.4	1.7	3.2	0.5	5.8
math	25*15	375.0	375	word	numeric	informative	0	1.2	3.8	2.1	5.5	0.5	3.5
math	21+8	29.0	23	numeric	word	noninformative	-6	1.7	4.8	2.5	4.0	0.5	13.3
