trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	duration	comparison_duration	feedback_duration	iti	isi1	isi2
math	23*9	207.0	211	numeric	word	informative	4	1.9	1.4	2.0	4.9	6.3	3.4
math	19*29	551.0	550	word	word	informative	-1	2.6	1.3	2.0	4.5	5.4	6.7
math	17*10	170.0	168	word	numeric	noninformative	-2	2.5	1.8	2.0	5.4	6.9	4.5
math	16+20	36.0	36	numeric	word	informative	0	1.8	1.8	2.0	3.4	4.7	4.5
math	21+13	34.0	36	word	numeric	noninformative	2	1.5	2.6	2.0	6.0	5.5	4.3
baseline	25	25.0	20	numeric	numeric	informative	-5	1.8	1.1	2.0	4.7	5.0	3.6
math	18-25	-7.0	-5	word	numeric	noninformative	2	2.0	1.3	2.0	4.1	4.4	3.5
math	8/1	8.0	8	word	word	informative	0	3.0	2.3	2.0	4.0	3.0	4.1
math	16+19	35.0	29	word	word	informative	-6	1.8	1.4	2.0	5.8	5.4	6.5
baseline	18	18.0	14	numeric	numeric	noninformative	-4	1.5	1.3	2.0	3.7	3.8	7.1
baseline	5	5.0	0	word	numeric	noninformative	-5	2.7	2.1	2.0	4.6	5.8	5.0
baseline	29	29.0	29	word	word	noninformative	0	2.2	1.7	2.0	5.5	7.9	4.8
baseline	29	29.0	32	numeric	numeric	noninformative	3	1.2	2.5	2.0	5.0	7.4	6.2
math	30/14	2.1	3	numeric	numeric	informative	1	1.6	1.3	2.0	3.3	5.7	3.9
math	1-12	-11.0	-20	word	word	informative	-9	1.5	3.0	2.0	4.4	5.3	3.8
math	10-3	7.0	10	word	numeric	informative	3	1.7	2.8	2.0	6.2	5.1	5.3
math	19+12	31.0	29	numeric	word	noninformative	-2	1.4	1.3	2.0	3.9	5.3	5.8
math	4*30	120.0	122	numeric	numeric	informative	2	2.5	2.5	2.0	3.2	4.6	3.7
math	6/4	1.5	2	word	numeric	noninformative	0	2.9	1.3	2.0	5.1	3.4	3.3
baseline	5	5.0	0	numeric	word	noninformative	-5	1.8	1.5	2.0	4.7	3.2	4.5
baseline	21	21.0	29	numeric	word	informative	8	2.8	1.8	2.0	3.1	4.7	5.5
math	26/18	1.4	-2	word	numeric	noninformative	-3	1.6	2.5	2.0	5.2	5.9	4.1
math	1-22	-21.0	-25	numeric	word	informative	-4	1.7	2.8	2.0	6.2	4.4	4.8
baseline	13	13.0	12	numeric	word	noninformative	-1	2.2	1.1	2.0	0.1	3.3	7.0
