trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	duration	comparison_duration	feedback_duration	iti	isi1	isi2
math	14/7	2.0	3	word	numeric	noninformative	1	3.0	1.5	2.0	6.2	7.3	5.9
baseline	26	26.0	23	numeric	word	informative	-3	2.1	1.8	2.0	5.7	7.4	3.3
math	30+6	36.0	35	word	numeric	informative	-1	1.6	2.6	2.0	5.7	4.9	5.8
math	4-8	-4.0	3	word	word	noninformative	7	1.2	1.1	2.0	3.5	5.4	3.3
baseline	2	2.0	-3	word	numeric	informative	-5	1.9	2.8	2.0	6.2	4.0	4.0
math	6-4	2.0	6	numeric	numeric	noninformative	4	1.9	1.4	2.0	4.5	5.5	3.2
math	1+17	18.0	10	word	word	informative	-8	1.1	2.4	2.0	6.9	6.7	3.1
math	23/11	2.1	3	word	word	noninformative	1	1.3	1.2	2.0	4.1	5.3	5.4
math	27*25	675.0	673	word	numeric	noninformative	-2	1.2	2.2	2.0	5.6	2.3	4.9
baseline	18	18.0	22	numeric	word	noninformative	4	2.3	1.8	2.0	6.2	4.6	6.5
math	24-8	16.0	11	numeric	numeric	informative	-5	2.7	2.7	2.0	5.3	3.8	2.6
math	15/14	1.1	3	numeric	numeric	noninformative	2	2.3	1.5	2.0	6.4	2.2	4.8
baseline	11	11.0	12	word	numeric	noninformative	1	3.0	1.9	2.0	3.6	4.0	6.5
math	18*19	342.0	341	numeric	word	informative	-1	1.9	2.1	2.0	4.8	3.5	3.5
math	11/8	1.4	-9	numeric	word	noninformative	-10	2.2	1.5	2.0	4.5	4.8	3.9
math	24+1	25.0	16	numeric	word	informative	-9	1.6	1.2	2.0	3.7	4.3	7.4
baseline	11	11.0	9	word	word	noninformative	-2	3.0	2.5	2.0	7.6	3.3	4.1
math	1+2	3.0	5	numeric	numeric	noninformative	2	2.3	1.6	2.0	3.4	4.8	5.0
baseline	25	25.0	26	numeric	word	informative	1	1.9	2.7	2.0	4.9	5.5	3.6
baseline	10	10.0	9	word	word	noninformative	-1	1.6	1.9	2.0	3.7	6.9	3.7
baseline	10	10.0	15	word	numeric	informative	5	2.0	1.2	2.0	3.8	6.1	4.7
math	23*17	391.0	394	word	numeric	informative	3	1.2	2.8	2.0	2.7	4.3	5.7
math	19*4	76.0	83	numeric	word	informative	7	1.5	2.5	2.0	3.2	5.5	3.4
math	13-16	-3.0	-1	numeric	numeric	informative	2	2.0	1.2	2.0	7.6	4.1	4.5
