trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
addition	25+9	34.0	34	word	numeric	noninformative	0	2.7	3.6	1.0	5.5	0.5	6.7
subtraction	14-2	12.0	3	word	numeric	informative	-9	2.5	3.2	2.3	4.6	0.5	5.3
addition	8+3	11.0	10	word	numeric	noninformative	-1	2.6	4.9	3.0	3.2	0.5	5.0
addition	10+2	12.0	4	word	numeric	informative	-8	1.1	4.8	2.7	5.4	0.5	5.2
division	13/10	1.3	-9	numeric	word	informative	-10	1.1	3.3	2.0	3.3	0.5	4.5
addition	14+8	22.0	32	word	word	noninformative	10	1.1	5.1	2.0	4.1	0.5	3.5
subtraction	27-3	24.0	28	word	numeric	informative	4	2.6	3.6	2.9	3.9	0.5	6.0
division	29/4	7.2	7	numeric	numeric	noninformative	0	2.9	4.3	1.6	3.9	0.5	4.3
multiplication	3*7	21.0	26	numeric	word	noninformative	5	1.2	4.2	1.7	5.8	0.5	7.4
multiplication	23*3	69.0	62	numeric	numeric	informative	-7	1.8	4.3	1.8	4.0	0.5	3.6
division	19/9	2.1	-2	word	word	informative	-4	1.5	6.6	2.7	3.4	0.5	4.6
subtraction	1-8	-7.0	-8	numeric	word	informative	-1	1.4	5.8	1.7	3.2	0.5	3.7
division	25/6	4.2	-5	numeric	word	informative	-9	2.3	5.0	2.6	3.3	0.5	6.0
subtraction	24-2	22.0	15	word	numeric	noninformative	-7	1.3	5.0	1.1	3.8	0.5	4.2
multiplication	30*7	210.0	214	word	numeric	noninformative	4	1.7	6.9	1.4	4.2	0.5	3.3
division	20/5	4.0	7	word	word	informative	3	2.2	3.2	2.3	3.5	0.5	3.6
multiplication	25*4	100.0	99	numeric	numeric	informative	-1	2.8	3.4	2.5	4.5	0.5	3.5
subtraction	22-14	8.0	7	numeric	word	noninformative	-1	2.4	3.8	1.4	2.5	0.5	6.0
addition	29+13	42.0	33	word	word	noninformative	-9	1.3	3.4	1.5	3.2	0.5	4.7
addition	3+17	20.0	21	numeric	word	informative	1	1.7	5.2	2.7	3.8	0.5	7.1
multiplication	30*2	60.0	55	numeric	numeric	noninformative	-5	2.4	5.4	1.0	3.5	0.5	5.1
multiplication	18*3	54.0	60	numeric	word	noninformative	6	1.4	3.6	1.8	3.4	0.5	2.8
subtraction	3-19	-16.0	-8	word	numeric	noninformative	8	2.8	4.8	2.5	3.4	0.5	6.0
division	24/16	1.5	4	numeric	word	informative	3	2.4	6.2	1.7	6.0	0.5	4.8
