trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	duration	comparison_duration	feedback_duration	iti	isi1	isi2
baseline	18	18.0	15	numeric	numeric	informative	-3	2.3	1.6	2.0	3.8	3.4	2.8
math	15/5	3.0	9	numeric	numeric	informative	6	2.8	1.5	2.0	3.7	7.0	4.4
math	2-9	-7.0	-6	word	word	informative	1	2.8	2.1	2.0	6.6	4.6	4.0
math	13+10	23.0	24	word	word	informative	1	2.5	2.9	2.0	4.0	3.5	6.0
math	17+24	41.0	48	word	word	informative	7	1.4	2.5	2.0	5.9	5.2	4.6
math	15-14	1.0	2	word	numeric	noninformative	1	1.3	2.6	2.0	2.7	7.4	6.4
baseline	16	16.0	26	word	word	informative	10	1.3	1.2	2.0	4.1	4.7	4.1
math	22-23	-1.0	0	word	numeric	noninformative	1	2.2	1.4	2.0	6.7	2.8	3.2
baseline	1	1.0	1	numeric	numeric	informative	0	1.7	2.2	2.0	4.9	3.5	5.2
math	24/6	4.0	8	numeric	word	noninformative	4	1.7	1.5	2.0	5.0	5.6	4.1
math	27/1	27.0	30	numeric	word	noninformative	3	2.1	2.2	2.0	4.2	2.5	5.4
baseline	27	27.0	17	word	word	informative	-10	1.9	1.3	2.0	6.1	2.7	6.2
math	10+13	23.0	16	word	word	noninformative	-7	1.0	2.7	2.0	5.9	5.3	5.0
math	9*27	243.0	241	word	word	noninformative	-2	1.9	1.2	2.0	3.9	5.2	4.4
math	6*5	30.0	32	word	numeric	informative	2	2.1	2.1	2.0	4.1	5.6	4.5
math	26*11	286.0	280	numeric	numeric	informative	-6	1.9	2.9	2.0	3.8	5.1	4.3
baseline	15	15.0	16	numeric	word	noninformative	1	2.2	1.6	2.0	7.7	4.3	4.0
baseline	20	20.0	20	numeric	numeric	noninformative	0	2.8	1.2	2.0	7.4	8.0	3.8
math	10-4	6.0	2	numeric	numeric	informative	-4	2.9	1.5	2.0	3.9	3.7	3.7
math	1*6	6.0	15	numeric	word	noninformative	9	2.0	1.8	2.0	3.5	3.8	4.3
math	21+13	34.0	25	numeric	numeric	noninformative	-9	2.2	1.7	2.0	4.1	6.3	4.0
math	27/17	1.6	2	word	numeric	noninformative	0	2.5	2.2	2.0	5.6	4.1	3.5
baseline	2	2.0	1	numeric	word	informative	-1	2.6	1.1	2.0	5.1	4.0	5.2
baseline	2	2.0	-5	word	numeric	noninformative	-7	1.4	1.8	2.0	8.7	7.6	3.3
