trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
math	22-17	5.0	10	word	word	noninformative	5	1.1	4.2	2.2	4.1	0.5	3.3
math	15*11	165.0	173	word	numeric	informative	8	2.6	4.7	2.8	4.8	0.5	5.5
math	27+4	31.0	35	numeric	word	noninformative	4	1.1	4.1	2.5	3.8	0.5	5.0
math	29-26	3.0	-1	numeric	numeric	noninformative	-4	2.2	4.6	2.4	5.6	0.5	3.7
baseline	22	22.0	17	word	word	informative	-5	2.9	6.8	1.6	7.3	0.5	5.4
math	27/8	3.4	2	word	word	noninformative	-1	1.6	4.4	2.8	3.1	0.5	2.5
baseline	14	14.0	15	numeric	numeric	noninformative	1	1.9	4.3	1.6	5.8	0.5	3.6
math	16+3	19.0	20	numeric	word	informative	1	1.8	5.3	2.8	4.1	0.5	5.1
baseline	1	1.0	-5	numeric	numeric	informative	-6	2.2	5.9	1.3	3.3	0.5	4.1
baseline	1	1.0	2	numeric	numeric	informative	1	1.7	3.4	2.2	7.4	0.5	4.4
math	20+21	41.0	38	word	word	noninformative	-3	1.7	3.2	1.4	2.9	0.5	3.2
math	8+28	36.0	39	word	numeric	informative	3	1.5	6.4	2.7	4.8	0.5	4.9
math	20/13	1.5	2	word	word	informative	0	2.8	3.8	1.2	6.2	0.5	7.7
math	23-22	1.0	8	word	word	noninformative	7	2.4	4.4	2.5	5.3	0.5	5.1
math	29/15	1.9	-1	word	numeric	noninformative	-3	1.4	6.4	1.4	3.1	0.5	5.0
math	12-26	-14.0	-17	numeric	numeric	informative	-3	2.7	4.7	1.4	3.4	0.5	4.9
math	27*24	648.0	642	numeric	word	noninformative	-6	2.2	4.4	2.4	4.2	0.5	4.8
math	19*28	532.0	540	numeric	word	noninformative	8	1.1	4.5	1.8	3.9	0.5	6.1
math	20/20	1.0	1	numeric	numeric	informative	0	1.7	5.5	2.2	5.3	0.5	3.4
math	14*4	56.0	58	word	numeric	noninformative	2	1.5	5.6	1.1	5.7	0.5	5.0
baseline	15	15.0	6	numeric	numeric	informative	-9	2.5	4.4	1.6	3.8	0.5	3.8
baseline	30	30.0	28	word	numeric	informative	-2	1.9	2.9	2.6	3.4	0.5	4.0
baseline	25	25.0	23	word	word	noninformative	-2	1.0	3.4	1.3	3.7	0.5	6.2
baseline	3	3.0	5	numeric	word	informative	2	1.7	6.2	1.7	5.9	0.5	8.2
