trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
math	3+25	28.0	32	numeric	numeric	informative	4	1.7	3.0	2.7	4.6	0.5	5.3
baseline	12	12.0	15	word	word	informative	3	1.6	4.1	1.8	4.7	0.5	4.1
math	16*20	320.0	321	word	numeric	noninformative	1	1.6	4.3	1.4	5.0	0.5	4.1
baseline	17	17.0	13	numeric	numeric	noninformative	-4	2.7	3.4	2.4	3.2	0.5	3.4
math	29-26	3.0	12	numeric	word	informative	9	2.0	3.7	1.4	5.0	0.5	6.6
baseline	19	19.0	12	numeric	numeric	informative	-7	2.4	4.6	1.3	4.4	0.5	3.8
math	28*20	560.0	559	word	numeric	noninformative	-1	1.2	4.9	2.7	4.1	0.5	6.1
baseline	4	4.0	3	word	word	noninformative	-1	2.6	3.2	2.2	5.7	0.5	3.6
math	24/8	3.0	9	numeric	numeric	noninformative	6	2.1	4.9	1.4	6.6	0.5	3.5
baseline	2	2.0	-7	numeric	word	noninformative	-9	1.3	3.5	2.2	8.0	0.5	3.6
math	4+28	32.0	28	numeric	word	informative	-4	2.2	7.5	2.2	3.7	0.5	5.2
baseline	17	17.0	22	word	numeric	informative	5	1.6	4.1	1.5	4.7	0.5	4.8
math	2+15	17.0	19	word	numeric	informative	2	1.3	4.9	1.5	3.7	0.5	4.4
math	30/13	2.3	1	word	word	noninformative	-1	1.1	4.3	1.3	5.3	0.5	4.2
baseline	6	6.0	6	word	numeric	informative	0	2.9	3.9	2.8	3.3	0.5	4.4
math	20*16	320.0	322	word	word	noninformative	2	1.9	5.1	2.4	4.0	0.5	6.6
math	11-4	7.0	14	word	word	informative	7	2.8	5.1	2.0	4.4	0.5	6.3
math	30-10	20.0	24	numeric	numeric	informative	4	2.4	4.8	1.1	3.6	0.5	4.6
baseline	8	8.0	11	numeric	word	noninformative	3	1.6	5.7	1.2	5.2	0.5	3.9
math	7-8	-1.0	0	numeric	word	noninformative	1	2.2	2.6	1.8	4.5	0.5	4.6
math	20/14	1.4	2	word	numeric	informative	1	2.3	6.0	2.6	3.9	0.5	5.3
math	12*6	72.0	74	numeric	word	informative	2	2.6	3.8	1.9	4.9	0.5	3.7
math	30+12	42.0	33	numeric	numeric	noninformative	-9	2.9	4.2	1.7	5.0	0.5	4.4
math	21/10	2.1	-5	word	word	noninformative	-7	2.3	5.4	2.2	3.5	0.5	12.5
