trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	duration	comparison_duration	feedback_duration	iti	isi1	isi2
math	3*18	54.0	56	word	word	noninformative	2	1.5	1.5	2.0	5.3	5.4	2.8
math	13/4	3.2	4	word	numeric	noninformative	1	2.2	2.8	2.0	3.7	5.3	4.8
math	9+17	26.0	22	word	word	noninformative	-4	1.3	2.4	2.0	5.2	5.9	7.2
baseline	1	1.0	-1	word	numeric	informative	-2	2.7	1.9	2.0	4.6	5.5	4.7
math	13*17	221.0	223	word	word	noninformative	2	1.1	1.5	2.0	5.4	4.9	3.9
baseline	5	5.0	7	word	word	informative	2	1.9	2.8	2.0	2.7	5.5	4.9
math	24/16	1.5	2	numeric	numeric	informative	0	2.3	2.6	2.0	6.3	3.7	4.4
math	21-27	-6.0	-7	numeric	word	informative	-1	2.6	2.3	2.0	3.4	6.2	4.7
math	3+29	32.0	40	numeric	word	informative	8	1.9	2.8	2.0	6.2	4.8	3.9
baseline	5	5.0	6	numeric	numeric	noninformative	1	1.3	1.8	2.0	3.0	3.3	3.8
math	30-14	16.0	15	numeric	word	noninformative	-1	2.0	2.5	2.0	3.4	4.2	5.3
math	27/3	9.0	9	numeric	numeric	informative	0	2.7	1.1	2.0	5.6	5.4	3.0
math	18-14	4.0	4	word	word	noninformative	0	2.0	1.9	2.0	3.6	5.3	5.4
math	27+30	57.0	48	numeric	numeric	informative	-9	1.1	1.7	2.0	6.8	5.5	5.0
baseline	7	7.0	7	numeric	numeric	informative	0	2.7	1.8	2.0	3.7	4.3	5.1
math	2*30	60.0	63	word	numeric	informative	3	1.2	2.0	2.0	3.9	4.3	5.0
math	1-14	-13.0	-4	word	numeric	noninformative	9	2.5	2.3	2.0	3.6	4.1	4.2
math	27/21	1.3	2	word	numeric	informative	1	1.7	1.2	2.0	3.7	4.2	4.7
baseline	26	26.0	25	word	word	noninformative	-1	1.2	2.6	2.0	4.7	4.5	6.6
math	25*18	450.0	453	numeric	word	noninformative	3	2.9	2.2	2.0	4.7	4.0	4.2
baseline	14	14.0	11	numeric	word	informative	-3	2.4	2.8	2.0	4.9	3.9	4.7
math	19+3	22.0	27	word	numeric	informative	5	1.6	2.3	2.0	3.3	4.1	4.5
baseline	7	7.0	6	numeric	numeric	noninformative	-1	2.8	2.4	2.0	3.8	5.9	5.3
baseline	14	14.0	14	numeric	word	noninformative	0	2.7	1.7	2.0	9.8	5.6	3.6
