trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
math	25+23	48.0	48	word	numeric	noninformative	0	2.5	3.6	1.7	3.9	0.5	5.4
math	19/15	1.3	1	word	numeric	noninformative	0	2.3	4.2	1.9	3.7	0.5	5.5
math	2*10	20.0	20	numeric	numeric	informative	0	2.3	6.2	1.0	4.6	0.5	4.5
baseline	5	5.0	3	numeric	numeric	informative	-2	2.4	4.5	1.5	3.9	0.5	3.2
baseline	13	13.0	9	numeric	word	noninformative	-4	2.7	4.8	1.9	3.6	0.5	4.4
math	14-23	-9.0	-12	word	word	informative	-3	2.6	5.9	2.2	7.2	0.5	4.2
math	1-6	-5.0	0	word	word	noninformative	5	2.0	3.6	2.0	5.5	0.5	7.6
baseline	7	7.0	-2	word	word	informative	-9	2.9	2.7	1.7	6.2	0.5	6.3
math	13*23	299.0	300	word	numeric	informative	1	2.0	4.2	1.5	2.6	0.5	2.6
math	8/7	1.1	7	word	numeric	informative	6	2.9	3.5	2.1	7.5	0.5	6.3
baseline	30	30.0	30	word	numeric	informative	0	1.9	6.7	2.3	4.3	0.5	3.6
math	20+14	34.0	24	numeric	word	noninformative	-10	1.7	3.6	3.0	4.0	0.5	4.0
math	10*20	200.0	200	word	numeric	noninformative	0	2.4	5.3	1.7	4.6	0.5	4.7
baseline	26	26.0	22	numeric	word	informative	-4	2.3	3.3	1.7	3.8	0.5	4.8
math	5+15	20.0	24	numeric	word	noninformative	4	2.9	3.5	2.9	4.8	0.5	2.9
math	17*4	68.0	72	word	numeric	informative	4	1.3	3.5	1.9	6.7	0.5	4.3
baseline	9	9.0	10	numeric	word	noninformative	1	2.3	3.3	1.0	4.4	0.5	4.2
math	26/22	1.2	-7	word	word	informative	-8	2.4	4.0	2.0	3.8	0.5	3.7
baseline	20	20.0	16	word	word	informative	-4	2.1	6.6	2.5	5.1	0.5	4.2
math	25+25	50.0	48	numeric	numeric	noninformative	-2	1.9	3.8	2.5	4.8	0.5	3.1
math	26-23	3.0	8	numeric	numeric	noninformative	5	2.9	3.8	1.5	5.1	0.5	4.0
math	28/1	28.0	20	numeric	numeric	noninformative	-8	2.9	3.9	1.6	3.9	0.5	3.1
baseline	26	26.0	29	numeric	word	informative	3	1.3	7.7	2.2	3.9	0.5	6.3
math	25-19	6.0	10	numeric	word	noninformative	4	1.4	3.3	1.0	6.6	0.5	9.5
