trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	duration	comparison_duration	feedback_duration	iti	isi1	isi2
math	4-8	-4.0	-4	word	numeric	noninformative	0	2.4	2.1	2.0	4.5	2.7	6.7
math	2*12	24.0	23	numeric	word	informative	-1	1.6	1.8	2.0	5.5	3.0	5.1
math	13+2	15.0	16	word	numeric	noninformative	1	1.5	2.9	2.0	5.5	4.3	4.1
math	8-28	-20.0	-22	numeric	numeric	noninformative	-2	2.3	2.9	2.0	5.5	7.5	3.0
math	5+29	34.0	35	numeric	numeric	noninformative	1	2.3	1.5	2.0	2.7	3.9	5.5
math	26/12	2.2	-6	word	numeric	noninformative	-8	1.7	3.0	2.0	3.2	4.1	6.9
math	26/26	1.0	0	numeric	numeric	informative	-1	1.0	1.3	2.0	3.7	7.1	7.9
math	3+22	25.0	22	numeric	word	noninformative	-3	2.6	2.8	2.0	5.0	4.5	2.8
math	15-20	-5.0	-9	numeric	word	noninformative	-4	2.9	1.4	2.0	3.4	2.8	3.2
math	18+3	21.0	12	numeric	word	noninformative	-9	3.0	2.9	2.0	5.8	4.3	4.3
baseline	9	9.0	9	word	word	noninformative	0	1.7	2.9	2.0	5.5	6.2	5.4
math	9/5	1.8	-6	numeric	numeric	informative	-8	1.0	2.1	2.0	4.7	4.8	5.9
math	29*21	609.0	614	word	numeric	informative	5	2.1	1.0	2.0	3.7	4.0	4.0
baseline	29	29.0	31	numeric	word	informative	2	2.0	2.0	2.0	5.0	3.3	4.3
math	24*17	408.0	398	numeric	word	noninformative	-10	2.5	1.7	2.0	4.2	6.2	6.3
baseline	5	5.0	11	word	numeric	informative	6	1.7	1.5	2.0	3.4	4.1	4.5
baseline	26	26.0	27	word	word	informative	1	1.3	2.4	2.0	5.1	3.4	6.5
math	20*3	60.0	53	word	word	informative	-7	2.9	2.1	2.0	6.8	5.5	5.1
baseline	17	17.0	15	word	word	informative	-2	2.7	2.3	2.0	3.3	4.4	4.7
math	26-24	2.0	3	word	numeric	informative	1	2.1	2.5	2.0	4.1	4.5	3.4
baseline	28	28.0	29	numeric	numeric	informative	1	1.1	2.3	2.0	5.3	4.3	4.8
baseline	30	30.0	30	word	word	noninformative	0	1.4	1.5	2.0	5.1	6.1	4.2
math	15/1	15.0	13	word	numeric	noninformative	-2	2.2	2.0	2.0	4.5	4.2	5.4
baseline	25	25.0	19	numeric	word	informative	-6	2.1	2.5	2.0	3.6	5.9	4.3
