trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
math	30*20	600.0	601	word	word	noninformative	1	2.5	4.5	1.1	4.0	0.5	5.7
math	5+8	13.0	16	word	word	informative	3	1.4	4.3	2.6	4.2	0.5	3.8
math	15-28	-13.0	-9	word	numeric	informative	4	1.6	3.7	2.7	4.9	0.5	5.3
baseline	22	22.0	28	word	numeric	noninformative	6	2.6	5.3	2.9	7.7	0.5	5.2
math	15+20	35.0	28	word	numeric	noninformative	-7	2.1	6.5	2.2	4.9	0.5	7.4
baseline	17	17.0	14	word	numeric	informative	-3	2.5	4.8	1.1	2.9	0.5	3.8
baseline	17	17.0	16	numeric	word	noninformative	-1	2.9	3.1	2.2	4.2	0.5	3.2
math	29*21	609.0	609	word	numeric	informative	0	2.5	4.0	1.4	4.3	0.5	4.2
baseline	28	28.0	30	numeric	numeric	informative	2	1.9	4.3	2.9	5.4	0.5	6.2
math	11-21	-10.0	-12	numeric	numeric	noninformative	-2	2.1	4.1	2.2	2.9	0.5	3.8
baseline	2	2.0	-2	word	numeric	noninformative	-4	2.2	3.9	3.0	4.8	0.5	5.3
math	13*4	52.0	55	numeric	word	noninformative	3	2.2	3.1	2.0	3.7	0.5	5.4
baseline	28	28.0	31	word	word	noninformative	3	2.9	3.3	2.2	5.6	0.5	4.6
baseline	11	11.0	9	word	numeric	informative	-2	1.8	4.4	1.8	2.5	0.5	3.7
baseline	11	11.0	11	numeric	numeric	informative	0	1.5	4.3	2.3	3.2	0.5	5.4
math	22/14	1.6	4	word	word	informative	2	2.9	3.0	1.0	4.4	0.5	4.1
math	29/1	29.0	20	numeric	word	informative	-9	1.2	3.7	2.9	3.5	0.5	5.7
math	28-13	15.0	15	numeric	word	noninformative	0	2.8	3.2	1.8	7.9	0.5	3.6
math	24-2	22.0	30	numeric	word	noninformative	8	2.8	4.1	2.2	6.0	0.5	4.8
math	11+28	39.0	40	numeric	numeric	noninformative	1	2.2	6.3	2.8	5.5	0.5	3.3
math	12*3	36.0	38	numeric	word	noninformative	2	2.8	3.1	1.1	2.7	0.5	3.3
math	11/7	1.6	6	word	numeric	informative	4	1.1	7.0	2.1	6.8	0.5	5.0
math	17+6	23.0	15	numeric	word	informative	-8	1.9	3.6	2.9	3.4	0.5	4.7
math	3/1	3.0	0	numeric	word	informative	-3	2.8	3.4	2.3	3.3	0.5	9.9
