trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
baseline	30	30.0	26	numeric	numeric	noninformative	-4	1.4	5.2	1.3	7.5	0.5	3.5
math	14-6	8.0	11	word	word	informative	3	2.9	5.6	3.0	3.5	0.5	4.2
math	29*29	841.0	841	numeric	numeric	informative	0	2.0	2.7	1.5	5.9	0.5	4.2
math	10+13	23.0	24	word	numeric	noninformative	1	1.5	5.4	2.8	5.2	0.5	5.0
baseline	14	14.0	15	numeric	numeric	noninformative	1	2.8	5.0	2.3	4.7	0.5	4.7
math	19+13	32.0	34	word	word	noninformative	2	1.6	3.1	2.4	2.8	0.5	4.6
math	2-23	-21.0	-19	numeric	numeric	noninformative	2	2.6	3.4	1.1	3.9	0.5	6.1
baseline	19	19.0	20	numeric	word	informative	1	3.0	5.4	3.0	6.8	0.5	4.1
baseline	16	16.0	15	word	word	informative	-1	2.6	5.3	2.8	6.0	0.5	5.4
baseline	8	8.0	11	numeric	word	noninformative	3	2.8	5.0	1.7	3.3	0.5	4.8
math	25/3	8.3	5	word	numeric	informative	-3	2.3	3.0	1.3	3.2	0.5	5.3
baseline	28	28.0	30	numeric	word	informative	2	1.6	4.7	2.4	3.0	0.5	3.0
math	25/21	1.2	2	numeric	word	informative	1	2.2	6.5	2.8	4.2	0.5	2.9
baseline	18	18.0	17	word	numeric	informative	-1	1.3	3.3	1.6	7.4	0.5	2.8
math	16+10	26.0	27	numeric	word	informative	1	2.5	5.5	2.5	3.6	0.5	4.1
math	22*17	374.0	380	word	word	noninformative	6	2.1	3.9	2.0	4.5	0.5	4.5
math	25*18	450.0	453	numeric	word	informative	3	1.4	4.9	2.8	5.7	0.5	2.9
math	25/15	1.7	5	numeric	numeric	noninformative	3	2.3	4.3	1.9	3.8	0.5	4.1
math	23+5	28.0	34	word	word	informative	6	1.8	4.6	1.7	2.9	0.5	5.5
baseline	27	27.0	23	word	numeric	noninformative	-4	2.6	4.1	3.0	5.1	0.5	4.3
math	20-4	16.0	13	word	numeric	noninformative	-3	1.4	5.8	1.6	5.0	0.5	4.9
math	25*13	325.0	320	numeric	numeric	noninformative	-5	2.3	5.3	1.9	4.0	0.5	5.8
math	22-9	13.0	22	word	word	informative	9	2.2	2.6	2.3	3.3	0.5	5.0
math	12/5	2.4	9	word	numeric	noninformative	7	1.2	4.6	2.6	4.4	0.5	8.7
