trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	duration	comparison_duration	feedback_duration	iti	isi1	isi2
baseline	19	19.0	29	numeric	word	noninformative	10	2.4	1.2	2.0	5.6	4.7	4.1
math	25-22	3.0	4	word	numeric	informative	1	2.2	3.0	2.0	5.7	4.9	6.1
math	3+15	18.0	11	numeric	word	noninformative	-7	2.5	1.9	2.0	3.6	3.1	3.8
math	25/2	12.5	20	word	numeric	noninformative	7	1.3	1.0	2.0	3.9	3.9	4.7
math	6/4	1.5	2	word	numeric	noninformative	1	2.4	2.3	2.0	6.1	5.5	2.6
math	21*2	42.0	52	numeric	numeric	noninformative	10	2.3	1.4	2.0	3.4	3.2	6.3
baseline	9	9.0	19	word	word	informative	10	2.5	2.3	2.0	5.3	5.4	3.7
math	18*28	504.0	514	word	word	informative	10	1.8	2.5	2.0	6.4	3.6	3.8
math	16*24	384.0	387	word	word	noninformative	3	2.0	2.8	2.0	5.9	4.0	3.3
baseline	3	3.0	3	numeric	word	informative	0	1.4	1.8	2.0	5.3	4.3	3.5
math	7/4	1.8	2	numeric	word	noninformative	0	1.3	2.9	2.0	3.2	5.9	7.1
math	10*13	130.0	128	numeric	numeric	noninformative	-2	2.7	2.6	2.0	4.5	4.4	4.0
baseline	21	21.0	22	word	word	noninformative	1	2.3	2.1	2.0	4.5	7.1	4.7
math	6+1	7.0	8	word	word	informative	1	2.1	2.8	2.0	5.2	6.6	3.4
baseline	3	3.0	1	numeric	numeric	informative	-2	2.3	2.9	2.0	3.3	5.4	5.6
math	28-6	22.0	23	numeric	numeric	informative	1	1.8	2.5	2.0	4.3	3.5	7.2
math	16-19	-3.0	-5	numeric	numeric	noninformative	-2	2.4	1.3	2.0	4.2	4.3	4.8
baseline	16	16.0	20	word	numeric	informative	4	1.6	2.5	2.0	4.7	4.5	3.3
math	12+19	31.0	33	numeric	word	informative	2	1.1	2.4	2.0	4.5	4.4	3.8
math	30-1	29.0	27	numeric	word	informative	-2	1.3	1.9	2.0	4.5	5.4	3.3
math	24/18	1.3	-9	numeric	numeric	noninformative	-10	2.4	2.8	2.0	3.8	5.9	6.9
math	24+20	44.0	40	word	word	informative	-4	2.7	3.0	2.0	2.9	3.8	4.6
baseline	16	16.0	15	word	numeric	informative	-1	2.7	2.9	2.0	2.8	3.0	4.6
baseline	26	26.0	18	word	numeric	noninformative	-8	1.5	1.9	2.0	9.9	3.3	5.5
