trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	duration	comparison_duration	feedback_duration	iti	isi1	isi2
baseline	9	9.0	14	numeric	word	noninformative	5	2.1	3.0	2.0	7.8	5.8	5.7
baseline	23	23.0	22	word	word	noninformative	-1	2.0	1.5	2.0	5.4	5.2	4.4
baseline	12	12.0	16	word	word	informative	4	2.1	2.7	2.0	2.4	4.2	4.3
math	10+20	30.0	31	numeric	numeric	noninformative	1	2.1	2.9	2.0	5.2	4.1	5.3
math	14/2	7.0	5	numeric	word	informative	-2	1.8	2.7	2.0	3.1	2.7	4.8
baseline	7	7.0	7	word	word	informative	0	2.5	2.0	2.0	3.9	5.1	3.0
math	23/19	1.2	4	numeric	numeric	informative	3	2.9	2.2	2.0	7.7	5.0	3.7
math	7-1	6.0	9	word	numeric	noninformative	3	1.7	2.6	2.0	5.0	3.9	4.8
math	25*27	675.0	675	word	word	informative	0	2.1	2.8	2.0	3.8	3.0	4.3
baseline	13	13.0	14	word	word	noninformative	1	2.2	3.0	2.0	4.6	3.6	3.8
math	20/8	2.5	10	numeric	word	informative	8	2.8	2.5	2.0	5.8	5.7	4.0
baseline	1	1.0	2	numeric	numeric	informative	1	3.0	1.5	2.0	3.4	7.4	3.1
math	23-4	19.0	14	word	numeric	informative	-5	1.3	2.6	2.0	2.9	3.6	4.8
math	2-18	-16.0	-15	numeric	numeric	noninformative	1	2.3	1.6	2.0	4.7	7.3	3.8
math	12+8	20.0	21	numeric	numeric	noninformative	1	2.6	1.3	2.0	2.7	5.1	4.0
math	17/11	1.5	3	numeric	word	noninformative	1	1.6	2.5	2.0	4.4	3.5	4.3
math	2*9	18.0	26	word	word	noninformative	8	2.0	2.9	2.0	2.7	3.0	5.0
math	10*18	180.0	173	numeric	numeric	informative	-7	2.2	1.8	2.0	7.4	4.7	5.5
baseline	18	18.0	14	word	numeric	noninformative	-4	2.0	1.7	2.0	4.0	3.4	3.8
math	6-20	-14.0	-15	word	word	noninformative	-1	2.3	1.4	2.0	4.5	6.5	5.8
baseline	10	10.0	10	word	word	informative	0	2.9	2.7	2.0	4.0	3.8	4.5
math	18+19	37.0	39	numeric	numeric	informative	2	2.9	1.8	2.0	4.6	3.6	7.8
math	12+1	13.0	19	word	numeric	noninformative	6	2.8	1.9	2.0	3.4	7.4	4.0
math	25*13	325.0	325	numeric	numeric	informative	0	2.6	2.7	2.0	2.6	5.6	5.2
