trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
math	26+18	44.0	46	numeric	word	informative	2	2.5	4.1	1.7	6.8	0.5	4.4
baseline	26	26.0	26	numeric	word	informative	0	1.7	5.5	1.2	6.1	0.5	4.4
baseline	25	25.0	25	word	word	noninformative	0	2.1	3.2	1.4	5.5	0.5	4.7
math	24+8	32.0	29	word	numeric	informative	-3	1.2	4.4	1.1	4.1	0.5	4.9
baseline	19	19.0	13	word	word	informative	-6	2.4	4.9	2.2	4.3	0.5	3.8
baseline	19	19.0	23	numeric	numeric	informative	4	1.5	3.1	1.4	4.5	0.5	3.7
math	27-18	9.0	7	numeric	numeric	informative	-2	2.2	5.5	1.5	5.4	0.5	3.8
baseline	17	17.0	16	word	numeric	noninformative	-1	3.0	6.7	2.4	6.0	0.5	6.3
baseline	4	4.0	-1	word	word	informative	-5	1.9	4.6	1.8	3.4	0.5	4.4
math	6-18	-12.0	-20	numeric	numeric	noninformative	-8	2.5	2.7	2.2	6.7	0.5	4.7
math	18-16	2.0	3	numeric	word	noninformative	1	1.2	3.6	2.8	4.7	0.5	5.5
math	14/4	3.5	6	numeric	numeric	informative	2	2.1	4.4	1.2	4.7	0.5	5.2
baseline	27	27.0	28	word	numeric	noninformative	1	3.0	3.3	1.1	6.3	0.5	6.1
math	27/9	3.0	-7	word	numeric	noninformative	-10	1.2	5.2	2.1	5.9	0.5	4.7
math	19+24	43.0	45	numeric	numeric	informative	2	2.4	2.9	2.4	5.1	0.5	3.7
math	13-28	-15.0	-25	numeric	word	noninformative	-10	2.0	4.0	1.7	3.6	0.5	3.6
math	25/20	1.2	-1	word	word	informative	-2	2.3	4.1	1.2	4.4	0.5	4.8
math	12*5	60.0	63	numeric	numeric	noninformative	3	2.3	4.4	2.1	6.3	0.5	3.9
math	24/17	1.4	0	numeric	word	informative	-1	2.2	3.7	2.6	5.4	0.5	2.7
baseline	1	1.0	-2	word	numeric	noninformative	-3	1.4	4.6	1.0	3.0	0.5	6.7
math	23*13	299.0	303	numeric	word	informative	4	1.0	3.9	1.1	6.0	0.5	3.5
math	14*21	294.0	289	word	word	noninformative	-5	2.0	4.3	2.7	6.5	0.5	3.4
math	13*16	208.0	208	word	numeric	noninformative	0	1.6	3.0	1.1	4.9	0.5	4.5
math	11+22	33.0	37	word	word	noninformative	4	2.4	4.2	1.5	4.3	0.5	14.8
