trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	duration	comparison_duration	feedback_duration	iti	isi1	isi2
math	8*12	96.0	92	numeric	numeric	noninformative	-4	2.9	2.0	2.0	4.0	3.8	3.3
math	22-1	21.0	20	word	numeric	noninformative	-1	3.0	2.8	2.0	3.9	5.8	4.4
math	23*8	184.0	176	numeric	numeric	informative	-8	1.9	2.2	2.0	6.1	6.5	4.4
baseline	16	16.0	14	numeric	numeric	informative	-2	2.4	2.8	2.0	5.0	4.1	4.8
math	30/9	3.3	9	numeric	word	informative	6	2.4	3.0	2.0	5.3	6.8	2.9
math	13-19	-6.0	-4	numeric	word	informative	2	2.5	2.9	2.0	5.1	5.2	4.4
baseline	7	7.0	2	word	word	informative	-5	2.6	2.2	2.0	5.1	5.2	2.7
math	21+18	39.0	47	word	numeric	informative	8	2.6	2.3	2.0	4.1	5.0	4.3
baseline	18	18.0	14	word	numeric	noninformative	-4	2.5	1.9	2.0	4.2	6.6	5.5
baseline	29	29.0	29	numeric	word	informative	0	2.0	2.7	2.0	5.4	3.9	4.9
baseline	26	26.0	36	word	word	noninformative	10	1.8	2.7	2.0	3.6	5.9	2.7
baseline	5	5.0	7	numeric	word	noninformative	2	2.1	1.8	2.0	4.4	3.6	3.7
math	5-8	-3.0	-6	word	word	informative	-3	1.5	2.9	2.0	4.0	2.5	4.7
math	17*21	357.0	355	numeric	word	noninformative	-2	2.9	1.7	2.0	5.9	5.4	4.3
math	13+9	22.0	18	numeric	word	noninformative	-4	1.3	2.4	2.0	4.7	4.0	3.8
math	24-8	16.0	16	numeric	numeric	informative	0	2.8	2.2	2.0	3.9	6.4	3.4
math	4*3	12.0	5	word	word	noninformative	-7	2.4	1.2	2.0	6.1	3.9	2.7
baseline	12	12.0	13	word	numeric	noninformative	1	1.8	1.2	2.0	2.5	3.8	3.0
math	25/11	2.3	-4	word	word	informative	-6	2.7	1.8	2.0	4.2	5.3	4.8
math	8+11	19.0	18	word	word	noninformative	-1	2.1	2.9	2.0	3.6	4.2	4.1
math	1+2	3.0	2	word	numeric	informative	-1	2.2	1.7	2.0	8.0	6.0	5.1
baseline	8	8.0	6	numeric	numeric	informative	-2	2.8	2.9	2.0	3.3	4.5	3.9
math	15/15	1.0	1	numeric	numeric	noninformative	0	2.3	1.5	2.0	7.4	3.5	4.1
math	12/11	1.1	4	word	numeric	noninformative	3	2.2	2.0	2.0	3.9	4.4	6.7
