trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
math	30/23	1.3	3	numeric	word	informative	2	1.3	2.8	1.4	3.3	0.5	4.7
math	14+7	21.0	28	word	numeric	noninformative	7	2.4	4.2	2.5	5.0	0.5	6.6
math	22/8	2.8	-6	word	numeric	noninformative	-9	2.8	4.7	3.0	7.5	0.5	3.5
math	15+23	38.0	40	numeric	numeric	noninformative	2	2.5	5.8	3.0	6.4	0.5	5.9
baseline	20	20.0	14	numeric	word	informative	-6	1.4	4.4	1.7	4.1	0.5	5.7
baseline	22	22.0	13	numeric	numeric	informative	-9	1.0	4.2	2.1	4.1	0.5	4.5
math	26/5	5.2	7	word	numeric	informative	2	2.9	7.5	2.8	4.7	0.5	4.4
baseline	20	20.0	16	numeric	numeric	informative	-4	1.1	4.5	2.3	5.1	0.5	4.6
math	22-28	-6.0	-11	numeric	word	noninformative	-5	2.7	2.9	2.2	4.5	0.5	3.8
math	3-29	-26.0	-26	word	word	noninformative	0	2.6	3.5	2.2	4.9	0.5	6.5
math	25*5	125.0	115	word	numeric	informative	-10	1.2	6.2	1.4	3.2	0.5	3.9
baseline	27	27.0	27	word	word	noninformative	0	1.9	4.5	2.0	3.6	0.5	3.5
math	18-14	4.0	0	word	numeric	informative	-4	1.2	2.4	2.9	3.1	0.5	4.7
math	2+21	23.0	13	numeric	word	noninformative	-10	2.3	6.2	2.0	2.8	0.5	3.4
math	1*7	7.0	7	word	numeric	noninformative	0	1.3	5.4	1.6	6.4	0.5	3.7
math	6/5	1.2	6	numeric	word	informative	5	1.0	3.1	2.0	4.7	0.5	4.2
baseline	18	18.0	13	word	word	informative	-5	1.5	5.4	1.7	5.7	0.5	6.2
baseline	30	30.0	29	numeric	word	noninformative	-1	1.1	3.7	1.5	3.5	0.5	4.2
math	4*1	4.0	1	word	word	informative	-3	1.9	3.5	1.8	3.5	0.5	5.3
math	13-11	2.0	0	numeric	numeric	noninformative	-2	1.8	2.2	2.1	4.4	0.5	5.0
math	13*15	195.0	202	word	word	informative	7	2.5	5.5	2.9	5.0	0.5	6.5
math	14+12	26.0	27	numeric	word	noninformative	1	2.6	5.7	1.4	3.4	0.5	4.8
baseline	1	1.0	8	word	numeric	noninformative	7	1.0	6.8	1.7	4.6	0.5	2.9
baseline	22	22.0	19	numeric	numeric	informative	-3	1.2	2.8	2.1	5.3	0.5	13.3
