trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	duration	comparison_duration	feedback_duration	iti	isi1	isi2
baseline	12	12.0	14	word	word	informative	2	1.8	1.2	2.0	5.7	5.2	4.3
math	16/15	1.1	-1	word	word	informative	-2	1.5	1.7	2.0	3.9	4.0	5.9
math	5*12	60.0	59	numeric	numeric	informative	-1	1.6	2.0	2.0	6.4	4.5	3.7
math	24-30	-6.0	-7	word	numeric	informative	-1	1.4	2.8	2.0	6.0	7.4	4.3
baseline	15	15.0	10	numeric	word	informative	-5	2.6	2.4	2.0	4.4	6.4	5.5
baseline	10	10.0	11	numeric	word	informative	1	1.2	2.8	2.0	6.3	5.2	3.8
math	12+2	14.0	16	word	numeric	noninformative	2	1.6	1.8	2.0	4.5	5.3	5.1
math	12*13	156.0	152	word	word	informative	-4	2.8	1.2	2.0	4.1	5.6	4.2
baseline	14	14.0	10	numeric	numeric	noninformative	-4	1.5	1.1	2.0	7.3	5.9	3.7
math	30+9	39.0	39	word	word	noninformative	0	2.6	2.5	2.0	5.1	3.8	4.5
baseline	19	19.0	9	numeric	numeric	informative	-10	1.4	2.4	2.0	3.6	4.7	4.0
math	26*8	208.0	204	word	numeric	noninformative	-4	1.6	1.4	2.0	4.0	7.0	5.7
math	16/9	1.8	-5	word	word	informative	-7	1.9	2.1	2.0	3.5	3.7	4.8
math	14+21	35.0	29	numeric	word	noninformative	-6	1.1	2.0	2.0	4.1	6.9	4.5
math	19-4	15.0	25	numeric	numeric	noninformative	10	2.4	1.4	2.0	6.0	3.4	4.6
math	7-20	-13.0	-7	word	word	noninformative	6	1.8	1.6	2.0	6.9	4.2	3.4
math	28/27	1.0	3	numeric	numeric	noninformative	2	2.3	1.3	2.0	4.4	4.9	3.9
math	23+18	41.0	44	numeric	word	noninformative	3	1.3	1.1	2.0	2.8	6.3	5.1
baseline	3	3.0	-4	word	numeric	noninformative	-7	1.2	1.0	2.0	5.4	5.7	5.0
baseline	2	2.0	10	word	numeric	informative	8	2.2	2.6	2.0	4.2	5.0	5.7
math	18/5	3.6	7	numeric	numeric	noninformative	3	1.3	1.5	2.0	5.0	3.4	3.2
baseline	1	1.0	2	numeric	word	noninformative	1	2.8	2.8	2.0	3.6	4.1	3.6
math	13*11	143.0	142	word	word	informative	-1	2.6	1.7	2.0	5.2	4.6	4.5
math	8-7	1.0	-1	numeric	numeric	informative	-2	2.7	1.7	2.0	3.9	4.6	7.6
