trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
baseline	23	23.0	26	numeric	word	informative	3	1.6	4.0	2.0	4.7	0.5	2.9
math	24*3	72.0	69	numeric	word	noninformative	-3	3.0	6.4	1.5	4.9	0.5	4.0
math	21-12	9.0	2	word	numeric	informative	-7	2.5	3.5	2.0	3.1	0.5	4.8
baseline	20	20.0	18	numeric	numeric	noninformative	-2	2.0	4.1	1.3	3.7	0.5	4.5
math	14/2	7.0	5	word	numeric	noninformative	-2	2.1	6.5	2.6	6.4	0.5	3.4
baseline	25	25.0	25	word	word	noninformative	0	2.3	3.4	1.1	4.1	0.5	6.2
baseline	10	10.0	10	word	numeric	noninformative	0	2.9	4.9	1.2	4.8	0.5	5.7
baseline	1	1.0	-6	numeric	numeric	informative	-7	2.0	6.5	2.8	3.9	0.5	4.3
math	30-6	24.0	26	numeric	word	noninformative	2	2.7	3.1	2.3	5.1	0.5	4.3
math	30/17	1.8	1	numeric	numeric	informative	-1	2.5	5.2	2.5	3.6	0.5	3.4
math	16*13	208.0	203	numeric	numeric	noninformative	-5	2.3	3.6	1.6	6.6	0.5	4.1
math	25+10	35.0	41	word	numeric	noninformative	6	2.5	5.6	1.5	6.3	0.5	5.7
math	5+6	11.0	1	numeric	numeric	informative	-10	2.2	4.9	1.8	4.1	0.5	4.0
math	9/4	2.2	2	numeric	word	informative	0	1.5	3.5	2.4	7.3	0.5	5.1
math	6-17	-11.0	-13	numeric	word	informative	-2	1.3	5.2	1.6	4.3	0.5	3.8
math	4+6	10.0	10	numeric	word	informative	0	2.4	4.0	2.7	5.3	0.5	2.9
math	15+16	31.0	30	word	word	noninformative	-1	2.1	4.1	2.7	4.8	0.5	2.9
baseline	23	23.0	15	word	numeric	noninformative	-8	2.0	3.3	3.0	6.3	0.5	2.1
math	27/27	1.0	1	word	numeric	noninformative	0	1.5	6.0	1.3	5.8	0.5	3.8
baseline	4	4.0	7	word	word	informative	3	1.5	6.1	2.1	3.2	0.5	4.9
math	10-26	-16.0	-14	numeric	word	informative	2	2.3	4.1	1.6	5.4	0.5	4.2
baseline	10	10.0	10	word	numeric	noninformative	0	2.8	4.8	2.2	4.9	0.5	5.6
math	21*18	378.0	376	word	word	informative	-2	2.4	4.7	2.5	3.5	0.5	4.1
math	7*7	49.0	50	word	word	informative	1	1.6	3.7	2.1	4.3	0.5	7.3
