trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	duration	comparison_duration	feedback_duration	iti	isi1	isi2
baseline	4	4.0	4	word	numeric	noninformative	0	2.6	1.4	2.0	3.3	6.7	3.0
baseline	30	30.0	31	word	numeric	informative	1	3.0	1.7	2.0	4.7	4.1	3.4
math	16+26	42.0	43	word	word	informative	1	2.9	2.7	2.0	4.5	5.8	4.2
baseline	22	22.0	28	word	numeric	informative	6	1.6	2.5	2.0	4.0	4.7	4.2
baseline	5	5.0	-2	numeric	word	informative	-7	2.9	2.4	2.0	6.8	7.4	4.5
math	14/4	3.5	12	numeric	word	noninformative	8	2.0	2.3	2.0	4.9	5.1	5.0
math	28*21	588.0	587	word	numeric	noninformative	-1	2.2	2.4	2.0	3.4	3.1	5.5
math	11+13	24.0	34	numeric	numeric	noninformative	10	2.2	2.6	2.0	5.1	4.0	5.4
baseline	26	26.0	23	numeric	word	informative	-3	2.1	2.1	2.0	3.3	3.9	5.7
math	4+22	26.0	27	numeric	word	informative	1	2.9	1.0	2.0	3.4	5.3	4.9
math	22/19	1.2	9	word	word	noninformative	8	1.1	2.5	2.0	4.9	4.3	5.4
math	19-22	-3.0	-3	numeric	word	noninformative	0	2.4	2.4	2.0	6.8	5.0	6.4
baseline	21	21.0	22	numeric	word	informative	1	1.6	2.5	2.0	3.5	4.8	3.7
baseline	17	17.0	14	numeric	numeric	informative	-3	1.7	1.0	2.0	4.5	5.6	4.2
math	23-3	20.0	23	word	numeric	informative	3	1.5	1.9	2.0	2.8	4.7	3.7
baseline	21	21.0	24	word	numeric	noninformative	3	1.7	2.5	2.0	3.2	4.6	7.5
math	4+25	29.0	30	word	word	noninformative	1	1.0	2.9	2.0	4.3	4.2	3.3
math	24/5	4.8	5	numeric	word	noninformative	0	2.4	1.6	2.0	4.9	6.6	3.8
math	12*26	312.0	320	numeric	numeric	informative	8	1.6	2.3	2.0	3.6	5.3	4.8
math	12/4	3.0	3	numeric	numeric	noninformative	0	2.1	1.2	2.0	5.2	3.0	5.6
math	14*17	238.0	241	word	numeric	informative	3	3.0	1.7	2.0	3.3	5.6	5.1
math	2-20	-18.0	-13	numeric	word	noninformative	5	2.6	1.2	2.0	5.9	4.2	4.1
math	25*2	50.0	54	word	numeric	noninformative	4	2.7	1.6	2.0	3.7	3.2	5.2
math	3-18	-15.0	-13	word	word	informative	2	2.5	2.8	2.0	9.5	3.6	3.6
