trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	duration	comparison_duration	feedback_duration	iti	isi1	isi2
math	10/9	1.1	6	numeric	numeric	noninformative	5	1.4	1.8	2.0	4.6	2.5	4.4
math	4+12	16.0	25	numeric	word	informative	9	2.2	2.3	2.0	4.0	5.2	5.0
math	20+6	26.0	26	word	numeric	noninformative	0	2.2	2.1	2.0	3.9	5.0	4.3
baseline	20	20.0	14	word	word	informative	-6	1.7	2.9	2.0	3.4	5.1	6.2
baseline	25	25.0	21	word	numeric	informative	-4	1.6	1.2	2.0	5.6	4.4	4.2
math	30*14	420.0	419	word	numeric	informative	-1	2.1	1.4	2.0	6.9	3.6	4.1
math	14+21	35.0	36	numeric	word	noninformative	1	2.4	2.6	2.0	2.9	4.4	5.1
math	27-9	18.0	19	numeric	numeric	informative	1	1.9	2.1	2.0	3.4	4.8	4.5
math	17/9	1.9	-1	word	word	noninformative	-3	1.9	2.0	2.0	3.9	2.8	7.3
math	24/5	4.8	10	numeric	numeric	informative	5	1.1	2.6	2.0	7.9	4.6	6.8
math	19/8	2.4	2	word	numeric	noninformative	0	1.7	1.2	2.0	2.7	6.5	5.0
baseline	8	8.0	6	word	numeric	informative	-2	1.5	2.1	2.0	4.0	4.3	5.4
baseline	17	17.0	18	word	word	noninformative	1	1.9	2.9	2.0	4.9	3.8	3.2
math	23+20	43.0	41	numeric	word	noninformative	-2	2.3	2.2	2.0	4.9	3.7	4.9
math	5-9	-4.0	-7	numeric	word	noninformative	-3	1.7	2.0	2.0	3.1	4.9	4.6
baseline	10	10.0	8	numeric	numeric	informative	-2	1.6	2.0	2.0	4.8	5.6	5.1
math	3-27	-24.0	-24	word	word	informative	0	1.5	2.7	2.0	4.7	3.4	6.3
math	9*21	189.0	189	word	word	noninformative	0	2.1	2.0	2.0	3.5	5.2	5.0
math	25*11	275.0	274	numeric	numeric	noninformative	-1	1.1	1.7	2.0	5.4	5.9	3.9
baseline	5	5.0	4	word	word	informative	-1	2.6	2.5	2.0	4.8	7.3	6.2
baseline	9	9.0	10	numeric	numeric	noninformative	1	1.1	2.8	2.0	4.4	3.5	4.3
math	16*17	272.0	281	numeric	word	informative	9	2.3	2.8	2.0	5.7	6.0	4.2
baseline	15	15.0	11	numeric	numeric	informative	-4	1.9	1.9	2.0	4.3	2.5	3.7
math	15-10	5.0	2	word	word	noninformative	-3	2.5	2.0	2.0	7.9	6.6	5.0
