trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
math	19+11	30.0	30	word	numeric	noninformative	0	2.8	3.7	1.5	3.4	0.5	7.1
baseline	7	7.0	-3	numeric	word	noninformative	-10	1.3	3.5	2.9	4.8	0.5	4.1
baseline	25	25.0	24	numeric	numeric	noninformative	-1	2.7	4.6	2.6	4.1	0.5	4.8
math	10*8	80.0	84	numeric	word	informative	4	1.2	5.7	1.7	3.8	0.5	3.3
math	25/19	1.3	4	word	numeric	informative	3	2.1	5.1	2.0	3.6	0.5	5.6
math	17*11	187.0	186	word	word	noninformative	-1	1.6	4.3	1.4	3.9	0.5	4.5
baseline	7	7.0	8	numeric	word	noninformative	1	1.5	3.6	1.9	7.3	0.5	5.6
math	19*18	342.0	343	numeric	word	informative	1	2.1	4.6	2.3	3.4	0.5	5.4
math	20+13	33.0	36	word	word	noninformative	3	1.4	2.1	2.9	3.3	0.5	5.6
math	13*2	26.0	34	word	numeric	informative	8	2.3	4.1	1.9	6.1	0.5	4.4
baseline	27	27.0	18	word	numeric	informative	-9	2.3	6.8	1.9	4.0	0.5	7.2
math	17-25	-8.0	-8	word	word	informative	0	1.8	3.8	2.3	2.9	0.5	4.9
math	5+24	29.0	37	word	word	noninformative	8	1.8	5.3	2.8	3.8	0.5	5.1
math	14-23	-9.0	-7	word	numeric	informative	2	1.9	4.0	2.1	6.4	0.5	2.6
math	30+16	46.0	46	word	word	noninformative	0	1.5	6.5	2.1	4.7	0.5	4.9
math	20/2	10.0	13	numeric	numeric	informative	3	1.3	5.8	1.9	5.2	0.5	4.6
baseline	19	19.0	18	word	word	noninformative	-1	1.2	4.2	1.3	4.2	0.5	6.1
baseline	19	19.0	24	numeric	numeric	informative	5	1.9	2.5	2.9	5.4	0.5	5.0
math	21-28	-7.0	-13	numeric	numeric	noninformative	-6	1.2	3.8	2.3	6.2	0.5	3.9
math	10-28	-18.0	-17	numeric	numeric	informative	1	1.6	3.6	2.9	5.6	0.5	5.1
baseline	29	29.0	31	numeric	numeric	informative	2	2.7	5.0	1.9	2.7	0.5	3.5
baseline	7	7.0	9	numeric	word	noninformative	2	1.6	4.8	1.8	6.6	0.5	2.8
math	10/1	10.0	6	numeric	word	informative	-4	1.2	4.2	2.2	3.1	0.5	3.3
math	25/20	1.2	10	word	numeric	noninformative	9	2.5	5.2	2.3	5.7	0.5	10.3
