trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
math	18*13	234.0	242	numeric	word	informative	8	2.5	3.5	2.1	4.1	0.5	4.3
math	21+11	32.0	42	numeric	word	noninformative	10	2.1	4.6	1.5	5.3	0.5	4.7
baseline	12	12.0	13	numeric	word	informative	1	2.4	3.2	2.3	5.9	0.5	4.0
math	8-26	-18.0	-22	numeric	numeric	noninformative	-4	2.6	3.9	2.3	3.6	0.5	3.4
baseline	12	12.0	11	numeric	word	noninformative	-1	2.6	4.8	1.8	2.9	0.5	6.0
math	26+18	44.0	54	word	word	informative	10	2.2	4.1	1.1	4.3	0.5	6.5
math	9-10	-1.0	2	word	numeric	noninformative	3	2.9	3.7	1.6	5.8	0.5	4.6
math	25-30	-5.0	-3	numeric	word	noninformative	2	2.0	6.3	2.0	4.8	0.5	4.9
math	23/18	1.3	-6	word	numeric	noninformative	-7	2.1	3.5	2.8	4.2	0.5	7.2
math	19-30	-11.0	-9	numeric	numeric	informative	2	1.0	3.4	2.0	3.4	0.5	4.7
baseline	14	14.0	15	numeric	numeric	noninformative	1	1.1	3.7	2.0	6.5	0.5	4.2
math	22*8	176.0	175	word	numeric	noninformative	-1	2.7	5.2	1.6	3.6	0.5	3.7
math	8/3	2.7	1	word	word	informative	-2	2.0	4.5	1.6	3.2	0.5	3.9
math	27/15	1.8	3	word	word	noninformative	1	1.5	4.5	2.2	4.2	0.5	5.8
baseline	27	27.0	27	word	numeric	informative	0	1.7	6.6	1.7	4.0	0.5	5.3
baseline	19	19.0	17	numeric	numeric	informative	-2	1.7	5.5	2.5	6.1	0.5	4.0
baseline	17	17.0	21	word	word	informative	4	1.6	7.3	1.5	5.1	0.5	4.2
math	4+16	20.0	19	numeric	word	informative	-1	2.6	5.2	1.5	5.8	0.5	4.0
baseline	2	2.0	4	numeric	word	noninformative	2	1.1	3.6	2.6	4.3	0.5	5.3
math	30*3	90.0	84	word	numeric	informative	-6	1.2	4.2	2.6	4.2	0.5	4.4
math	4+7	11.0	5	word	numeric	informative	-6	2.5	3.9	1.3	3.4	0.5	6.6
math	7/3	2.3	2	word	numeric	noninformative	0	2.2	4.1	1.3	3.8	0.5	2.8
baseline	17	17.0	26	word	numeric	noninformative	9	1.0	5.3	2.8	4.2	0.5	4.3
math	23*7	161.0	151	numeric	word	informative	-10	1.1	5.1	2.4	3.8	0.5	13.5
