trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
math	5-16	-11.0	-10	word	word	noninformative	1	2.0	3.9	1.3	3.0	0.5	4.6
math	19-23	-4.0	-3	numeric	word	informative	1	1.7	6.1	2.3	3.1	0.5	2.8
math	27/8	3.4	8	word	word	informative	5	1.9	5.5	2.9	4.2	0.5	4.5
baseline	20	20.0	19	word	word	noninformative	-1	1.7	3.6	2.2	4.3	0.5	3.4
baseline	2	2.0	-2	word	word	noninformative	-4	2.3	3.4	2.8	3.0	0.5	7.7
baseline	6	6.0	6	word	word	noninformative	0	2.1	3.7	1.1	4.8	0.5	7.8
math	1+19	20.0	23	word	numeric	informative	3	1.7	4.3	2.9	5.2	0.5	4.6
math	21+28	49.0	59	word	numeric	noninformative	10	1.0	4.8	1.2	4.0	0.5	4.3
math	11-20	-9.0	-13	numeric	numeric	informative	-4	2.1	7.4	2.8	4.4	0.5	4.3
math	12*14	168.0	168	numeric	word	informative	0	1.1	3.3	2.6	4.6	0.5	5.6
math	19*11	209.0	218	numeric	numeric	noninformative	9	1.2	4.4	1.5	5.2	0.5	4.4
math	30/9	3.3	10	numeric	word	noninformative	7	2.7	3.3	1.7	4.2	0.5	3.6
math	28+11	39.0	34	numeric	numeric	noninformative	-5	2.7	2.8	2.0	5.6	0.5	4.0
baseline	9	9.0	9	numeric	numeric	informative	0	2.8	7.7	1.4	3.7	0.5	3.4
math	23-29	-6.0	-3	numeric	word	informative	3	2.2	3.0	1.2	4.0	0.5	4.2
math	15+29	44.0	39	word	numeric	informative	-5	1.1	5.0	2.2	7.5	0.5	7.7
baseline	12	12.0	9	word	word	noninformative	-3	2.2	4.1	2.6	7.5	0.5	3.5
math	16*6	96.0	103	numeric	numeric	informative	7	1.4	3.9	1.6	3.1	0.5	5.4
math	27/19	1.4	2	word	word	noninformative	1	2.3	4.2	2.3	4.3	0.5	4.4
baseline	3	3.0	7	word	numeric	informative	4	1.4	3.1	1.0	5.2	0.5	6.4
baseline	27	27.0	24	word	numeric	informative	-3	1.5	3.6	2.6	6.1	0.5	4.7
baseline	14	14.0	17	numeric	word	noninformative	3	3.0	4.1	2.4	3.2	0.5	5.2
math	2*3	6.0	4	numeric	numeric	noninformative	-2	1.8	6.5	1.4	2.8	0.5	3.7
math	20/9	2.2	8	numeric	numeric	informative	6	2.1	6.4	2.1	3.5	0.5	13.1
