trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
math	18*29	522.0	523	numeric	numeric	noninformative	1	2.0	4.4	2.3	5.1	0.5	5.2
math	7*3	21.0	23	numeric	word	informative	2	1.5	3.4	1.1	3.8	0.5	3.9
math	19/15	1.3	5	word	numeric	noninformative	4	1.5	3.7	1.7	5.4	0.5	5.7
math	3+3	6.0	9	word	numeric	noninformative	3	1.8	5.0	1.1	4.9	0.5	3.6
math	9/7	1.3	2	numeric	word	informative	1	1.8	5.4	1.4	4.5	0.5	4.6
math	10*30	300.0	292	word	word	informative	-8	3.0	5.0	2.9	5.9	0.5	2.9
math	15/2	7.5	-2	numeric	numeric	noninformative	-9	1.8	5.5	2.9	4.6	0.5	4.4
math	8*15	120.0	112	numeric	numeric	informative	-8	2.5	2.7	2.4	3.6	0.5	4.2
math	8-2	6.0	0	word	word	noninformative	-6	2.5	4.1	2.5	3.5	0.5	5.5
math	8-1	7.0	8	word	numeric	noninformative	1	1.6	6.4	1.9	2.9	0.5	4.5
baseline	10	10.0	4	word	word	informative	-6	1.7	2.3	2.9	5.2	0.5	3.1
math	5-21	-16.0	-9	numeric	numeric	informative	7	1.7	3.1	1.8	5.1	0.5	3.7
baseline	18	18.0	21	numeric	word	noninformative	3	1.3	4.5	2.4	5.4	0.5	5.1
baseline	14	14.0	15	word	word	informative	1	2.9	3.5	2.3	4.1	0.5	2.3
math	12+23	35.0	42	numeric	word	noninformative	7	2.8	3.2	2.2	4.3	0.5	3.4
baseline	11	11.0	14	word	numeric	informative	3	2.1	4.0	1.4	5.4	0.5	5.6
baseline	5	5.0	12	numeric	word	noninformative	7	1.6	4.0	2.4	3.9	0.5	4.5
math	9+11	20.0	17	word	numeric	noninformative	-3	2.8	5.9	2.8	3.5	0.5	6.7
baseline	5	5.0	4	numeric	numeric	informative	-1	2.3	3.7	2.6	4.8	0.5	5.2
math	5-7	-2.0	-4	word	word	informative	-2	1.8	4.6	1.9	5.2	0.5	4.3
math	20/12	1.7	3	numeric	numeric	noninformative	1	2.0	6.6	2.8	4.6	0.5	3.6
baseline	11	11.0	8	word	word	noninformative	-3	2.0	4.1	2.6	7.0	0.5	2.9
math	18+21	39.0	38	word	numeric	informative	-1	2.9	4.4	2.5	4.3	0.5	3.2
baseline	20	20.0	26	numeric	word	informative	6	2.1	3.1	1.2	6.4	0.5	15.9
