trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	duration	comparison_duration	feedback_duration	iti	isi1	isi2
baseline	30	30.0	29	numeric	numeric	informative	-1	2.8	2.7	2.0	3.8	3.9	4.4
math	25/10	2.5	-2	numeric	word	noninformative	-5	2.5	1.1	2.0	5.6	3.3	4.1
baseline	4	4.0	4	word	word	noninformative	0	1.6	2.6	2.0	4.9	5.8	6.2
math	2+8	10.0	1	word	numeric	informative	-9	2.9	2.6	2.0	4.8	5.3	3.8
math	21*15	315.0	314	numeric	word	informative	-1	1.4	2.4	2.0	6.0	7.2	5.2
baseline	19	19.0	11	word	word	informative	-8	2.6	1.1	2.0	4.6	2.9	5.7
math	22-28	-6.0	-2	word	numeric	noninformative	4	2.6	2.7	2.0	3.3	3.0	3.1
math	22-29	-7.0	-11	numeric	numeric	informative	-4	1.2	1.1	2.0	4.5	3.1	3.3
math	9+27	36.0	38	numeric	word	noninformative	2	1.3	1.7	2.0	4.9	4.9	3.8
baseline	9	9.0	9	word	numeric	noninformative	0	1.8	1.4	2.0	3.4	4.5	5.6
math	14-28	-14.0	-17	word	word	informative	-3	1.3	2.3	2.0	5.1	5.1	7.6
math	19+5	24.0	30	word	word	informative	6	2.8	1.2	2.0	6.4	7.8	5.9
math	13*18	234.0	240	word	word	informative	6	1.2	2.2	2.0	4.8	4.0	5.8
math	29/5	5.8	4	numeric	numeric	noninformative	-2	2.2	1.3	2.0	4.0	3.3	3.4
math	20+28	48.0	46	word	numeric	informative	-2	2.7	2.2	2.0	5.9	3.9	4.4
baseline	7	7.0	15	numeric	numeric	noninformative	8	1.2	2.6	2.0	4.2	4.9	5.7
math	11/8	1.4	3	word	word	noninformative	2	3.0	1.2	2.0	5.6	4.7	6.1
math	10*7	70.0	64	word	word	noninformative	-6	2.0	1.3	2.0	3.4	2.6	6.2
baseline	7	7.0	7	numeric	word	informative	0	1.9	2.9	2.0	7.7	4.3	4.0
math	28*29	812.0	820	numeric	numeric	noninformative	8	2.0	1.7	2.0	5.0	5.3	4.6
baseline	2	2.0	5	numeric	word	noninformative	3	1.3	2.5	2.0	6.1	5.2	5.9
baseline	18	18.0	22	numeric	numeric	informative	4	1.3	2.9	2.0	3.4	3.8	4.7
math	25/13	1.9	3	word	numeric	informative	1	2.8	1.9	2.0	3.7	6.0	4.9
math	29-29	0.0	3	numeric	numeric	noninformative	3	1.9	2.7	2.0	2.7	3.4	5.0
