trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
math	21*29	609.0	607	word	numeric	informative	-2	2.4	3.7	2.9	4.7	0.5	4.2
baseline	22	22.0	17	word	numeric	noninformative	-5	1.2	3.3	1.9	7.0	0.5	3.7
math	23-30	-7.0	-7	numeric	word	noninformative	0	1.5	4.6	2.9	4.4	0.5	7.0
math	25+5	30.0	31	word	numeric	noninformative	1	2.8	4.1	1.7	5.0	0.5	6.7
baseline	1	1.0	-4	numeric	word	informative	-5	2.4	4.7	1.0	4.2	0.5	6.7
math	2*30	60.0	62	numeric	word	informative	2	2.7	5.1	2.8	5.1	0.5	6.3
math	27+10	37.0	39	numeric	numeric	informative	2	2.6	3.2	2.7	5.7	0.5	3.0
baseline	15	15.0	18	word	numeric	informative	3	2.2	4.6	2.8	2.8	0.5	5.4
baseline	5	5.0	5	word	numeric	noninformative	0	2.8	5.8	2.6	6.1	0.5	5.4
math	2+30	32.0	26	word	numeric	informative	-6	1.6	2.6	1.1	4.4	0.5	3.6
math	18-11	7.0	7	word	word	noninformative	0	2.4	4.3	2.8	3.2	0.5	5.8
baseline	19	19.0	21	numeric	word	informative	2	1.6	5.2	2.8	4.8	0.5	4.5
baseline	10	10.0	13	numeric	numeric	informative	3	2.0	3.5	1.6	3.4	0.5	6.1
math	22-12	10.0	11	word	word	noninformative	1	2.7	2.4	2.3	4.0	0.5	2.9
baseline	10	10.0	10	numeric	word	noninformative	0	1.7	4.0	1.6	4.8	0.5	3.2
math	29/2	14.5	14	word	numeric	noninformative	0	1.5	4.7	1.6	3.7	0.5	3.5
math	27/12	2.2	4	word	numeric	informative	2	2.2	7.3	1.5	4.0	0.5	3.3
math	1-26	-25.0	-29	numeric	word	informative	-4	1.6	3.4	1.8	5.9	0.5	2.8
math	23*8	184.0	185	numeric	numeric	noninformative	1	2.0	2.8	1.6	7.1	0.5	4.2
math	6/4	1.5	8	numeric	word	informative	6	2.3	3.5	1.5	3.3	0.5	7.4
math	15+17	32.0	34	numeric	word	noninformative	2	2.5	6.8	2.6	4.4	0.5	5.2
math	2*2	4.0	6	numeric	word	noninformative	2	1.2	3.6	1.7	3.4	0.5	2.4
baseline	30	30.0	30	word	numeric	noninformative	0	1.4	4.7	2.8	3.7	0.5	3.5
math	27/26	1.0	-8	word	word	informative	-9	1.4	4.4	2.9	3.5	0.5	14.1
