trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
math	5/3	1.7	3	word	numeric	informative	1	2.7	7.2	1.9	5.4	0.5	3.9
math	11*23	253.0	259	word	word	noninformative	6	1.6	3.8	1.7	4.0	0.5	3.8
baseline	30	30.0	36	numeric	word	noninformative	6	1.4	2.8	2.9	4.9	0.5	4.0
math	19+3	22.0	18	numeric	numeric	noninformative	-4	1.4	5.8	2.3	6.0	0.5	4.9
math	22-19	3.0	-5	word	numeric	informative	-8	1.8	2.7	2.5	2.6	0.5	3.5
baseline	13	13.0	13	word	numeric	informative	0	1.3	3.7	2.7	3.9	0.5	3.8
math	26/15	1.7	7	numeric	word	noninformative	5	1.0	4.2	1.2	3.2	0.5	4.7
math	25+5	30.0	25	word	word	informative	-5	1.2	5.0	1.9	3.4	0.5	5.1
math	16-3	13.0	16	numeric	numeric	noninformative	3	2.9	4.6	2.6	3.5	0.5	5.4
math	29-15	14.0	11	word	word	noninformative	-3	2.4	6.4	1.7	3.5	0.5	5.1
math	16-6	10.0	13	numeric	numeric	informative	3	1.1	4.2	1.9	4.3	0.5	4.0
math	3*28	84.0	86	numeric	numeric	informative	2	2.6	6.7	2.3	4.5	0.5	3.1
math	17/15	1.1	0	numeric	numeric	noninformative	-1	2.5	3.5	1.6	4.0	0.5	2.8
baseline	12	12.0	10	word	word	noninformative	-2	2.2	4.5	2.8	5.4	0.5	3.3
math	4*26	104.0	105	word	word	informative	1	1.3	5.6	2.8	4.6	0.5	5.1
math	27+10	37.0	37	word	numeric	noninformative	0	2.1	6.4	2.6	5.6	0.5	3.7
baseline	21	21.0	17	word	numeric	noninformative	-4	1.7	3.5	2.9	6.4	0.5	4.7
math	8*7	56.0	54	numeric	word	noninformative	-2	1.9	5.2	2.1	4.6	0.5	4.7
baseline	1	1.0	4	numeric	numeric	noninformative	3	1.7	3.5	2.3	3.6	0.5	4.2
math	20/11	1.8	3	word	word	informative	1	2.8	5.5	2.4	6.7	0.5	4.2
baseline	9	9.0	5	numeric	word	informative	-4	1.2	4.7	2.3	3.7	0.5	5.7
baseline	21	21.0	21	numeric	word	informative	0	1.4	3.4	2.9	3.9	0.5	5.2
math	26+9	35.0	33	numeric	word	informative	-2	1.4	3.4	2.3	6.6	0.5	5.4
baseline	2	2.0	4	word	numeric	informative	2	1.7	4.9	1.4	4.5	0.5	14.4
