trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
math	6/6	1.0	6	word	numeric	noninformative	5	2.0	3.1	2.7	2.8	0.5	4.2
math	30+9	39.0	44	numeric	word	noninformative	5	2.6	4.8	2.8	5.2	0.5	4.6
math	8/4	2.0	-1	word	word	informative	-3	1.9	4.4	1.5	4.6	0.5	3.9
baseline	13	13.0	4	numeric	numeric	noninformative	-9	1.4	2.8	2.2	2.5	0.5	6.5
math	10+16	26.0	19	numeric	word	noninformative	-7	1.6	5.1	1.8	4.6	0.5	3.5
math	17-16	1.0	-2	numeric	numeric	informative	-3	2.3	4.7	2.5	6.2	0.5	5.6
math	6*24	144.0	153	word	word	informative	9	2.1	3.2	2.8	5.7	0.5	4.3
math	19*25	475.0	475	numeric	word	noninformative	0	1.5	4.4	2.7	4.4	0.5	4.2
math	30/6	5.0	0	numeric	word	informative	-5	2.4	2.3	2.4	4.1	0.5	3.1
math	25-30	-5.0	-11	word	numeric	informative	-6	1.8	4.9	2.4	5.7	0.5	4.4
math	17-19	-2.0	1	word	numeric	informative	3	2.5	5.3	1.5	4.6	0.5	2.5
math	6+14	20.0	28	word	word	informative	8	2.1	3.3	1.0	4.9	0.5	3.2
baseline	15	15.0	15	word	numeric	noninformative	0	2.4	3.3	2.1	3.5	0.5	7.1
math	18+6	24.0	22	numeric	word	noninformative	-2	2.4	4.5	1.2	5.2	0.5	4.1
baseline	5	5.0	2	numeric	numeric	noninformative	-3	1.3	5.9	2.8	3.0	0.5	4.8
baseline	24	24.0	21	word	numeric	informative	-3	1.9	5.6	2.1	5.7	0.5	6.6
math	14*28	392.0	382	word	word	noninformative	-10	2.1	3.4	1.0	3.0	0.5	3.7
math	4*26	104.0	105	numeric	numeric	noninformative	1	2.2	6.7	1.1	5.6	0.5	4.2
baseline	15	15.0	14	numeric	numeric	noninformative	-1	1.3	5.1	2.2	5.3	0.5	4.6
math	30/29	1.0	-2	word	word	informative	-3	2.4	3.5	2.7	3.2	0.5	3.5
baseline	20	20.0	19	word	numeric	noninformative	-1	2.3	5.2	2.8	3.6	0.5	6.1
baseline	1	1.0	5	numeric	word	informative	4	2.8	4.6	2.1	4.3	0.5	4.8
math	26-9	17.0	15	numeric	word	informative	-2	2.8	5.5	2.9	6.8	0.5	4.8
baseline	9	9.0	9	word	numeric	informative	0	2.1	4.7	2.2	4.9	0.5	10.3
