trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
addition	5+25	30.0	35	numeric	numeric	informative	5	3.0	5.3	1.4	5.2	0.5	3.6
multiplication	19*7	133.0	130	word	numeric	noninformative	-3	2.8	5.1	1.7	5.1	0.5	4.8
multiplication	28*5	140.0	148	numeric	word	noninformative	8	1.3	4.7	1.8	5.7	0.5	4.9
division	28/7	4.0	4	word	numeric	noninformative	0	1.0	3.2	1.8	3.6	0.5	4.7
subtraction	29-28	1.0	4	word	word	noninformative	3	2.0	4.1	2.7	2.6	0.5	3.3
subtraction	13-25	-12.0	-5	numeric	word	noninformative	7	3.0	5.0	2.8	5.0	0.5	4.6
addition	19+9	28.0	27	word	word	informative	-1	1.9	4.0	2.1	4.7	0.5	3.5
multiplication	8*9	72.0	72	numeric	word	informative	0	2.3	3.9	2.4	6.5	0.5	5.1
multiplication	13*8	104.0	109	word	numeric	informative	5	2.7	3.8	1.7	4.1	0.5	5.0
subtraction	22-8	14.0	18	numeric	numeric	informative	4	2.0	3.0	1.8	5.8	0.5	3.9
multiplication	23*9	207.0	198	word	word	informative	-9	1.1	5.0	2.5	3.5	0.5	5.7
division	17/3	5.7	8	numeric	numeric	noninformative	2	2.9	4.9	1.5	4.6	0.5	3.3
subtraction	13-27	-14.0	-6	word	numeric	informative	8	2.5	4.7	3.0	4.7	0.5	4.9
division	13/5	2.6	8	numeric	word	noninformative	5	2.9	3.3	1.2	7.3	0.5	4.2
division	28/8	3.5	-2	word	numeric	noninformative	-6	1.3	3.5	1.5	5.4	0.5	3.8
addition	30+12	42.0	46	word	word	informative	4	2.4	7.1	1.3	2.9	0.5	4.8
division	26/5	5.2	6	numeric	word	informative	1	1.9	3.9	1.7	3.8	0.5	5.7
addition	29+28	57.0	61	word	numeric	informative	4	1.2	3.7	1.6	5.1	0.5	5.6
addition	14+7	21.0	15	numeric	numeric	noninformative	-6	2.8	5.4	1.6	2.4	0.5	4.8
subtraction	4-14	-10.0	-14	word	numeric	noninformative	-4	1.4	4.2	1.1	4.6	0.5	4.3
multiplication	1*8	8.0	12	numeric	numeric	informative	4	1.5	5.4	3.0	7.5	0.5	4.1
subtraction	2-5	-3.0	-11	numeric	word	informative	-8	1.0	4.8	1.8	3.5	0.5	7.3
addition	14+21	35.0	33	word	word	noninformative	-2	1.6	7.7	2.0	3.3	0.5	3.3
division	16/8	2.0	1	numeric	word	noninformative	-1	1.6	4.0	1.1	4.1	0.5	3.9
