trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	duration	comparison_duration	feedback_duration	iti	isi1	isi2
math	13+24	37.0	28	word	numeric	noninformative	-9	2.5	1.9	2.0	5.7	4.5	3.4
math	26/7	3.7	-2	numeric	word	noninformative	-6	1.9	2.5	2.0	7.1	5.1	4.0
math	3+29	32.0	36	numeric	numeric	noninformative	4	1.4	1.8	2.0	4.1	4.9	5.7
math	9+25	34.0	36	word	numeric	informative	2	1.8	2.1	2.0	4.7	5.4	5.1
baseline	11	11.0	15	numeric	numeric	informative	4	1.7	1.5	2.0	2.4	4.0	3.2
math	28/13	2.2	0	word	numeric	informative	-2	2.5	2.9	2.0	7.4	4.4	8.0
math	23/10	2.3	0	numeric	numeric	noninformative	-2	2.5	1.8	2.0	3.9	4.5	4.9
math	13+17	30.0	32	word	word	informative	2	1.2	1.8	2.0	6.3	3.9	5.8
math	15*12	180.0	183	numeric	numeric	informative	3	1.4	1.1	2.0	4.9	5.0	4.2
math	2-28	-26.0	-20	numeric	word	informative	6	2.9	2.4	2.0	3.1	5.3	4.7
math	5*28	140.0	141	numeric	word	informative	1	1.6	1.4	2.0	4.9	3.1	3.0
baseline	10	10.0	3	word	word	noninformative	-7	1.2	1.5	2.0	3.5	4.3	5.0
math	24/23	1.0	-1	word	word	noninformative	-2	2.5	2.1	2.0	4.2	3.0	6.3
math	16*3	48.0	49	word	numeric	informative	1	2.0	2.1	2.0	2.8	5.2	6.5
baseline	14	14.0	12	word	numeric	noninformative	-2	2.9	1.6	2.0	3.6	4.8	7.1
baseline	7	7.0	11	numeric	word	noninformative	4	2.7	2.4	2.0	6.5	4.3	2.8
baseline	5	5.0	-4	word	word	noninformative	-9	3.0	2.3	2.0	5.0	5.0	3.3
baseline	5	5.0	3	word	word	informative	-2	1.8	1.0	2.0	2.9	5.8	4.5
math	15-21	-6.0	-14	numeric	word	noninformative	-8	1.4	2.4	2.0	4.6	3.4	5.4
baseline	18	18.0	17	word	word	noninformative	-1	1.1	1.1	2.0	3.8	6.0	3.5
math	16-17	-1.0	-2	numeric	numeric	informative	-1	3.0	2.6	2.0	5.7	4.0	5.1
math	25*22	550.0	544	word	numeric	informative	-6	2.9	1.3	2.0	3.0	5.2	4.9
baseline	12	12.0	14	numeric	numeric	noninformative	2	2.3	2.9	2.0	2.6	4.2	6.6
math	12-1	11.0	13	numeric	word	informative	2	1.8	1.7	2.0	9.1	7.2	4.5
