trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	duration	comparison_duration	feedback_duration	iti	isi1	isi2
math	5+5	10.0	1	numeric	numeric	informative	-9	1.7	1.5	2.0	6.5	4.0	4.7
math	30*17	510.0	504	numeric	word	informative	-6	2.8	1.4	2.0	5.9	4.4	4.4
math	21*3	63.0	60	word	word	noninformative	-3	1.1	2.6	2.0	5.0	6.0	4.3
math	25*11	275.0	265	word	numeric	noninformative	-10	3.0	1.7	2.0	5.1	4.3	5.6
baseline	26	26.0	25	word	word	noninformative	-1	2.3	1.4	2.0	4.0	4.8	6.5
math	7/5	1.4	1	numeric	word	informative	0	2.3	1.3	2.0	5.3	5.9	4.5
math	1+23	24.0	27	word	word	noninformative	3	2.5	1.5	2.0	6.1	4.1	2.8
math	12/10	1.2	-7	numeric	word	informative	-8	1.3	1.9	2.0	5.0	4.5	5.0
math	4+1	5.0	8	word	numeric	informative	3	2.2	2.4	2.0	4.8	2.1	5.0
math	27/13	2.1	2	numeric	word	informative	0	1.5	1.2	2.0	4.9	5.9	4.3
baseline	12	12.0	14	word	numeric	informative	2	1.3	1.1	2.0	3.5	4.6	4.4
baseline	28	28.0	25	word	word	informative	-3	2.8	1.7	2.0	4.4	5.4	5.1
math	8-14	-6.0	-1	word	numeric	noninformative	5	2.9	2.8	2.0	3.2	4.5	4.2
baseline	25	25.0	17	numeric	word	informative	-8	2.8	1.7	2.0	4.1	2.5	3.4
baseline	18	18.0	14	numeric	numeric	noninformative	-4	1.8	1.5	2.0	3.2	7.8	3.4
baseline	1	1.0	2	word	word	noninformative	1	1.2	2.9	2.0	6.7	5.1	7.0
math	9-27	-18.0	-18	numeric	numeric	informative	0	2.4	2.6	2.0	3.5	6.7	4.7
math	14+3	17.0	27	word	numeric	noninformative	10	1.6	2.8	2.0	4.7	4.0	5.9
baseline	23	23.0	21	numeric	numeric	noninformative	-2	1.9	2.9	2.0	4.8	4.7	4.9
math	27*26	702.0	703	word	numeric	informative	1	1.2	1.0	2.0	3.2	4.8	3.7
math	10-6	4.0	5	numeric	word	noninformative	1	1.5	1.6	2.0	3.4	5.2	4.8
math	13-25	-12.0	-4	word	numeric	noninformative	8	1.0	2.5	2.0	2.8	7.6	4.1
baseline	28	28.0	21	numeric	word	noninformative	-7	2.8	2.3	2.0	4.4	2.9	4.6
math	28/28	1.0	6	numeric	numeric	informative	5	2.4	1.8	2.0	9.0	5.0	6.0
