trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
math	14/10	1.4	1	word	word	informative	0	1.5	5.5	1.8	3.7	0.5	3.3
math	24-9	15.0	8	word	word	noninformative	-7	1.7	3.5	2.5	4.0	0.5	3.5
math	2-24	-22.0	-29	numeric	numeric	noninformative	-7	2.2	4.4	1.7	7.3	0.5	3.2
math	11-30	-19.0	-21	word	numeric	noninformative	-2	2.0	6.3	1.8	3.8	0.5	3.8
math	14/12	1.2	-1	word	word	informative	-2	1.7	3.5	2.3	2.7	0.5	4.0
math	29*21	609.0	613	numeric	numeric	informative	4	2.6	5.9	1.1	7.0	0.5	3.8
math	25*20	500.0	498	word	word	informative	-2	2.2	3.4	1.7	4.6	0.5	4.4
math	3*9	27.0	20	word	word	informative	-7	1.8	3.8	2.0	4.8	0.5	4.8
math	23+7	30.0	40	numeric	numeric	informative	10	1.1	5.4	1.1	4.8	0.5	2.9
baseline	25	25.0	34	numeric	word	noninformative	9	2.8	5.0	2.9	4.5	0.5	3.1
math	4*9	36.0	35	numeric	word	noninformative	-1	1.1	6.6	2.5	5.2	0.5	5.3
math	19/16	1.2	-2	numeric	word	noninformative	-3	1.4	4.9	2.1	3.5	0.5	7.1
math	21+30	51.0	51	word	numeric	noninformative	0	1.3	4.4	2.3	4.4	0.5	3.2
baseline	3	3.0	3	word	numeric	noninformative	0	2.9	5.0	3.0	2.9	0.5	4.1
baseline	2	2.0	-8	word	word	informative	-10	2.8	5.4	2.9	4.5	0.5	4.3
math	20/6	3.3	-1	numeric	numeric	informative	-4	1.7	4.5	1.2	2.5	0.5	3.0
baseline	10	10.0	1	numeric	numeric	informative	-9	2.6	6.5	1.4	6.9	0.5	4.3
baseline	13	13.0	11	word	word	informative	-2	2.1	6.9	2.7	3.8	0.5	4.1
baseline	7	7.0	9	numeric	numeric	noninformative	2	2.9	4.8	1.3	5.3	0.5	2.9
math	18-22	-4.0	-8	word	numeric	noninformative	-4	1.6	5.5	2.2	3.3	0.5	4.7
math	29+10	39.0	44	word	word	noninformative	5	2.9	4.3	1.7	5.1	0.5	7.1
math	1+20	21.0	29	numeric	word	noninformative	8	2.6	4.1	1.8	8.0	0.5	3.2
baseline	27	27.0	26	numeric	numeric	informative	-1	2.0	2.9	2.2	6.2	0.5	6.1
baseline	16	16.0	15	numeric	numeric	informative	-1	1.3	5.9	1.5	4.1	0.5	8.0
