trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	duration	comparison_duration	feedback_duration	iti	isi1	isi2
math	25*7	175.0	173	word	numeric	informative	-2	2.9	2.7	2.0	7.2	3.5	6.5
math	10-10	0.0	9	word	numeric	informative	9	1.8	2.1	2.0	5.1	4.6	4.7
baseline	3	3.0	12	numeric	word	informative	9	1.2	2.8	2.0	3.9	4.9	4.0
baseline	9	9.0	7	numeric	word	informative	-2	2.1	1.3	2.0	3.5	4.6	3.1
math	15/3	5.0	3	word	numeric	noninformative	-2	1.6	1.4	2.0	4.9	4.3	3.8
math	23/7	3.3	-2	numeric	word	noninformative	-5	2.4	1.5	2.0	4.5	4.6	4.4
baseline	7	7.0	9	numeric	word	noninformative	2	2.9	1.6	2.0	3.4	5.3	4.6
baseline	20	20.0	21	word	numeric	informative	1	2.7	2.6	2.0	4.0	4.4	4.7
math	3-20	-17.0	-27	word	word	informative	-10	1.7	2.7	2.0	5.7	3.4	6.6
math	26*7	182.0	179	numeric	numeric	informative	-3	2.1	1.7	2.0	3.2	7.0	8.0
math	22+23	45.0	52	numeric	numeric	noninformative	7	1.9	2.0	2.0	3.6	5.0	4.4
math	8+5	13.0	15	word	word	informative	2	2.9	1.7	2.0	6.7	4.0	5.7
math	10-12	-2.0	8	word	word	noninformative	10	1.8	1.6	2.0	3.2	4.1	3.2
math	3*29	87.0	88	word	word	noninformative	1	1.3	3.0	2.0	5.4	4.5	7.0
baseline	24	24.0	22	numeric	word	informative	-2	2.0	1.4	2.0	2.8	4.7	4.9
baseline	25	25.0	23	word	numeric	informative	-2	2.0	2.2	2.0	5.5	6.6	4.5
baseline	4	4.0	-3	numeric	numeric	informative	-7	1.3	1.3	2.0	5.8	6.2	5.5
math	10-2	8.0	10	numeric	numeric	noninformative	2	2.0	2.9	2.0	3.6	4.7	4.5
math	19/8	2.4	3	numeric	word	noninformative	1	1.3	1.4	2.0	4.1	3.4	3.8
math	11*24	264.0	263	numeric	numeric	noninformative	-1	2.7	2.5	2.0	7.2	2.8	7.1
math	27+27	54.0	55	numeric	word	informative	1	1.2	2.5	2.0	3.2	4.4	5.1
math	14+4	18.0	27	word	word	noninformative	9	1.4	1.2	2.0	4.6	3.8	4.4
baseline	21	21.0	31	word	numeric	noninformative	10	2.1	2.3	2.0	3.7	6.1	4.3
math	27/5	5.4	10	word	numeric	noninformative	5	2.0	1.9	2.0	6.5	3.6	5.8
