trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	duration	comparison_duration	feedback_duration	iti	isi1	isi2
math	13+7	20.0	20	word	word	noninformative	0	1.7	1.2	2.0	3.5	5.0	5.0
math	14+7	21.0	21	word	numeric	noninformative	0	1.5	2.4	2.0	2.9	4.7	3.7
math	14*25	350.0	346	numeric	numeric	noninformative	-4	2.5	1.1	2.0	6.3	3.5	6.1
math	4-15	-11.0	-9	word	numeric	informative	2	1.7	2.1	2.0	5.7	2.6	4.3
math	21/19	1.1	7	numeric	word	informative	6	2.8	1.6	2.0	6.7	7.4	4.6
baseline	26	26.0	26	numeric	word	noninformative	0	2.8	3.0	2.0	5.5	4.8	7.3
math	23+11	34.0	38	word	word	noninformative	4	2.3	1.6	2.0	5.7	4.1	6.9
math	20*27	540.0	533	numeric	numeric	informative	-7	1.7	1.6	2.0	4.2	5.0	4.1
math	29+10	39.0	40	numeric	numeric	informative	1	1.6	2.8	2.0	4.8	6.8	3.6
baseline	18	18.0	18	word	numeric	noninformative	0	2.8	1.7	2.0	6.2	7.5	4.2
math	9-30	-21.0	-23	numeric	word	informative	-2	2.3	1.8	2.0	6.4	5.2	4.2
math	8-4	4.0	6	word	word	informative	2	2.5	1.9	2.0	4.7	7.7	2.6
baseline	28	28.0	21	word	word	noninformative	-7	2.7	2.3	2.0	6.8	7.6	4.7
baseline	26	26.0	28	word	numeric	informative	2	1.0	2.5	2.0	4.4	3.7	3.4
baseline	26	26.0	36	numeric	word	noninformative	10	2.5	2.2	2.0	6.5	2.5	2.9
baseline	20	20.0	23	word	numeric	informative	3	2.9	2.0	2.0	3.6	3.2	4.6
math	11*12	132.0	133	numeric	numeric	noninformative	1	1.9	2.8	2.0	4.0	3.9	3.0
math	24/20	1.2	-1	word	numeric	noninformative	-2	1.2	2.9	2.0	5.6	2.3	4.0
math	8/4	2.0	1	word	word	informative	-1	1.0	1.6	2.0	5.3	4.9	2.5
math	28/27	1.0	5	numeric	numeric	informative	4	1.6	2.9	2.0	4.6	3.9	4.4
math	7*29	203.0	202	numeric	word	noninformative	-1	2.0	2.0	2.0	5.0	3.0	3.6
math	4-30	-26.0	-25	numeric	word	informative	1	2.2	2.0	2.0	4.4	3.0	4.2
baseline	4	4.0	4	word	numeric	noninformative	0	1.2	2.2	2.0	2.7	5.2	4.4
baseline	20	20.0	30	numeric	word	informative	10	2.5	2.6	2.0	5.8	5.1	6.1
