trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	duration	comparison_duration	feedback_duration	iti	isi1	isi2
math	10+8	18.0	18	word	numeric	informative	0	2.6	2.3	2.0	2.9	6.7	3.1
math	22/6	3.7	5	word	numeric	noninformative	1	1.8	2.6	2.0	3.2	6.2	5.1
math	14*20	280.0	274	numeric	numeric	noninformative	-6	1.5	2.2	2.0	4.2	4.5	4.0
math	1+13	14.0	5	word	word	informative	-9	2.4	1.7	2.0	6.6	3.8	4.8
math	14-10	4.0	7	word	numeric	informative	3	2.1	2.3	2.0	6.1	4.0	3.5
baseline	20	20.0	15	numeric	numeric	noninformative	-5	2.3	2.5	2.0	6.4	4.5	4.0
baseline	25	25.0	34	word	word	noninformative	9	2.3	2.5	2.0	4.5	5.6	5.5
math	8*10	80.0	72	numeric	word	noninformative	-8	3.0	1.1	2.0	4.1	4.7	5.8
math	11*8	88.0	87	word	word	informative	-1	3.0	1.2	2.0	3.6	4.7	5.9
baseline	27	27.0	26	word	word	informative	-1	2.5	1.4	2.0	5.6	4.7	3.3
math	4+9	13.0	14	numeric	numeric	noninformative	1	1.8	3.0	2.0	3.9	3.0	3.5
math	25*19	475.0	476	numeric	numeric	informative	1	2.0	1.9	2.0	2.4	3.2	4.5
math	17/8	2.1	3	numeric	numeric	informative	1	2.1	2.0	2.0	4.6	4.2	5.2
baseline	25	25.0	21	word	word	informative	-4	2.3	1.2	2.0	4.2	3.0	5.8
math	10/5	2.0	1	numeric	word	noninformative	-1	2.5	2.1	2.0	3.6	4.3	2.8
math	23+29	52.0	59	numeric	word	noninformative	7	1.3	1.4	2.0	8.0	4.2	6.5
baseline	26	26.0	33	word	word	noninformative	7	1.3	2.8	2.0	6.4	6.5	5.9
baseline	15	15.0	7	numeric	numeric	informative	-8	1.2	2.6	2.0	4.5	3.7	2.7
math	15-18	-3.0	0	word	word	noninformative	3	1.7	2.8	2.0	4.8	6.0	4.1
math	17-17	0.0	3	word	word	informative	3	2.8	2.0	2.0	7.7	3.2	3.5
math	25/5	5.0	6	numeric	word	noninformative	1	2.9	2.3	2.0	4.9	5.6	6.7
baseline	2	2.0	9	numeric	numeric	informative	7	2.2	1.6	2.0	4.6	4.9	3.3
baseline	17	17.0	20	word	numeric	informative	3	2.6	1.1	2.0	3.8	5.4	7.1
math	10-10	0.0	2	numeric	numeric	noninformative	2	2.9	1.1	2.0	1.7	4.5	7.2
