trial_type	equation	solution	comparison	equation_representation	comparison_representation	feedback	rounded_difference	equation_duration	isi1	comparison_duration	isi2	feedback_duration	iti
math	8/3	2.7	6	numeric	word	noninformative	3	1.2	3.7	1.9	3.2	0.5	5.4
math	25+15	40.0	42	numeric	word	noninformative	2	2.9	3.7	2.1	3.3	0.5	5.0
math	14-27	-13.0	-10	word	numeric	informative	3	2.0	7.4	2.6	7.5	0.5	3.0
math	25/20	1.2	2	word	numeric	informative	1	1.5	4.6	1.8	4.1	0.5	5.9
baseline	21	21.0	22	word	word	noninformative	1	2.1	3.5	2.8	5.7	0.5	5.0
baseline	26	26.0	27	numeric	numeric	noninformative	1	1.6	4.7	2.3	3.2	0.5	3.4
baseline	11	11.0	13	word	numeric	noninformative	2	2.7	4.3	2.5	5.0	0.5	4.0
math	16+25	41.0	41	numeric	word	informative	0	1.1	5.0	2.6	6.2	0.5	4.0
baseline	18	18.0	17	word	word	noninformative	-1	1.2	5.8	1.7	5.0	0.5	3.7
math	19+28	47.0	50	numeric	word	informative	3	2.5	2.7	1.0	4.9	0.5	5.5
math	15+25	40.0	42	numeric	word	informative	2	1.1	3.0	1.7	7.4	0.5	6.6
math	10/3	3.3	3	word	numeric	informative	0	2.6	5.5	1.6	3.5	0.5	2.7
math	7*13	91.0	81	word	numeric	noninformative	-10	1.0	3.1	2.8	5.4	0.5	4.3
math	17*3	51.0	51	word	numeric	informative	0	2.2	4.4	1.5	3.4	0.5	4.2
baseline	22	22.0	17	numeric	word	informative	-5	2.6	3.8	1.5	3.3	0.5	7.1
math	20*24	480.0	482	word	word	noninformative	2	2.8	2.1	2.8	5.5	0.5	3.6
math	21-9	12.0	4	word	numeric	informative	-8	3.0	7.5	2.6	5.0	0.5	5.7
math	26*8	208.0	213	numeric	word	noninformative	5	2.0	3.7	1.9	3.0	0.5	4.7
math	13-14	-1.0	5	numeric	numeric	informative	6	1.7	4.4	2.8	3.6	0.5	4.0
baseline	11	11.0	9	numeric	word	noninformative	-2	2.7	5.0	2.4	4.1	0.5	4.8
math	7/1	7.0	5	word	word	informative	-2	1.8	2.8	1.1	3.5	0.5	7.7
baseline	22	22.0	21	numeric	numeric	informative	-1	2.3	5.2	1.6	4.0	0.5	3.6
math	7-13	-6.0	-14	word	numeric	noninformative	-8	1.0	6.7	2.7	3.3	0.5	5.3
baseline	21	21.0	24	numeric	numeric	noninformative	3	2.6	3.6	2.3	3.9	0.5	10.8
